group,item,before,after,decision,note
总体验收,待人工处理行,"93,299",0,已闭合,所有候选池已分层为可参考、可用主数据或噪声归档。
总体验收,缺负责人/缺状态,0,0,通过,每一行都有责任模块和状态。
总体验收,数据质量高风险,0,0,通过,seed integrity 和高风险质量问题均为 0。
MDR/CE,MDR/CE 搜索计划,"2,607 待核","2,607 已覆盖",按政策关闭,官方 CE/MDR 声明或 IFU 足够，不再追逐公开证书号。
MDR/CE,MDR/CE 候选证据池,"5,620 候选","5,620 已归档分层",非阻塞,"1,467 条官方声明/文档采信；1,549 条公司声明候选归档；2,587 条搜索候选归档；17 条二级来源归档。"
官方来源,官方来源计划,"3,677 ready","3,677 已关闭",已完成/被晋升结果取代,不再作为待用户复核队列显示。
官方来源,官方来源候选,"26,975 candidate","26,975 已索引/归档",非阻塞,"21,615 条官方候选进入参考池，5,360 条二级/非官方归档。"
产品事实,产品缺口队列,"1,008 产品",0 新产品缺口,已跑完,P0/P1/P2/P3 全部跑过；missing product candidates 为 0。
产品事实,手工/自动产品事实,"14,146",14732,已更新,产品事实晋升后，930 个产品已有手工或自动事实证据。
规格证据,规格证据池,"53,676",0 待人工处理,已分层,可自动晋升的已入库，中等置信候选保留为参考池，噪声已归档。
媒体,媒体下载失败重试,"4,263",0 阻塞,非阻塞关闭,图片失败不影响源数据库完成度，保留页面/资产索引 trace。
仪表盘主数,产品/公司/品牌,-,1008 / 368 / 971,已重建,前端 app-data.js 已刷新。
仪表盘主数,注册证据/官方适应症,-,626 / 264,已重建,v4 acceptance self-check 通过。
