company,active_product_count_before_scope,record_ids,brands,product_names,commercial_paths,scope_action,scope_reason
Bayer,1,REC_0072,Bepanthen / Bepanthol,Post-Procedure Repair,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Biocyte,1,REC_0331,Hyaluronic Forte,口服透明质酸 (Oral HA),Injectables > Dermal Filler,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Cellese / AnteAGE,1,UPR_ANTEAGE_MD_001,AnteAGE MD,AnteAGE MD Growth Factor / Exosome Treatment Solutions,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
DermEden,1,REC_0181,DermEden,Night Protocole,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
DSD Pharm,3,REC_0095; REC_0193; REC_0630,Botox Like Hair Therapy; Dixidox de Luxe (Classic Line); Scalp Peeling (1.3),Hair Structure; Trichology; Scalp Detox,Skincare > Cosmeceutical; Skincare > Cosmeceutical; Skincare > Chemical Peel,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
E.I.C.O.,1,REC_0131,Cosmeceuticals,Manufacturing,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Germaine de Capuccini,1,REC_0300,Germaine de Capuccini,Timexpert / Radiance C+,Skincare > Professional,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
GPQ Srl,1,REC_0762,WiQo,PRX-T33 / WiQo Cream,Skincare > Chemical Peel,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Image Skincare,1,REC_0339,Image,I Peel,Skincare > Chemical Peel,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
JeuDerm,1,REC_0363,JeuDerm,Reform Age / My Ato,Skincare > Cosmeceutical,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
Lira Clinical,1,REC_0407,Lira Clinical,Smart Peel / Green Power,Skincare > Chemical Peel,exclude_company_from_final_dashboard_results,"only cosmetics/skincare/oral supplements; no qualifying medical-aesthetic device, drug, or equipment product in active rows"
