seed_record_id,product_id,company,brand,standard_product_name,source_url,indication
REC_0053,prod_aee7452328e9,El.En.,Asclepion,QuadroStar PRO,https://asclepion.com/en/quadrostarpro_en/,Indicated for treatment of superficial vessels and pigmented lesions.
REC_0187,prod_955ec6ae41e4,VIVACY,Desirial,Desirial / Plus,https://desirial.com/en/comfort-intimate-women-vivacy/,Indicated for rehydration of vaginal and vestibular mucous membranes and slight hypotrophy of the vulvar labia majora and pubis by intradermal injections.
REC_0360,prod_16f7a0517407,Jeisys Medical,Jeisys,LinearZ (Ultracel [zi:]),https://www.linearz.co.kr/en/common/marketing.php,Intended to use focused ultrasound to coagulate tissue for eyebrow lifting and thigh skin elasticity improvement.
REC_0495,prod_546a83c3eef6,Euroresearch,Nithya,Collagen,https://www.nithya.it/en/questions/,"Indicated for correction of blemishes related to ageing and for maintaining skin elasticity; may be used on the face, décolleté, neck, hands, arms and body at a physician's discretion."
REC_0226,prod_aa6a7f782121,BTL,Emface,Facial Muscle Lifting,https://daltonmedical.nl/wp-content/uploads/2024/11/Emface_LF_One-sheeter_FA_EN102_preview.pdf,Intended for aesthetic facial rejuvenation and contouring through wrinkle reduction and skin-laxity improvement by toning and lifting muscles and skin.
REC_0228,prod_80c86c09615a,BTL,Emsculpt NEO,Body Contouring (Muscle),https://rtaesthetics.co.uk/wp-content/uploads/2023/07/Emsculpt_Neo_CLIN_Mechanism-of-action-paper_EN101_preview.pdf,"Intended for treatment of obesity by fat reduction through neuromuscular stimulation, radiofrequency-induced lipolysis and increased blood flow."
REC_0118,prod_3e5c00e4f53c,Sinclair Pharma,Cocoon Medical,Cooltech Define,https://sinclair.com/brands/energy-devices/cooltech-define/,Intended for treatment of localized adipose accumulations in patients with BMI greater than or equal to 30 through controlled cooling and adipose tissue reduction.
REC_0168,prod_13519dcddbb3,Mesoestetic Pharma,Dermamelan,Dermamelan Intimate,https://www.mesoestetic.co.za/professional/dermamelan-intimate-pack.html,"Indicated for the external intimate area, inner thighs and groin to reduce pigmentary imperfections and improve skin quality, elasticity and appearance."
REC_0442,prod_9b8c9f474eb6,Mesoestetic Pharma,Mesohyal,Mesohyal (NCTC 109),https://www.mesoestetic-me.com/en/professional/mesohyal-nctc109.html,"Indicated as an intensive biorevitalization treatment for fine wrinkles, dull skin, anti-aging care and toning of skin tissue."
REC_0616,prod_bfa5cccbb619,InMode,RFAL Family,BodyTite / FaceTite / AccuTite / NeckTite,https://inmodemd.com/workstation/workstation-bodytite,Indicated for treatment of large body areas through soft tissue coagulation.
REC_0770,prod_c70a978314aa,Dermaroller,XCellarisPRO Twist,Electric Microneedling,https://dermaroller.com/medical-microneedling/medical-indications/,"Indicated for treatment of scars, especially acne scars, injury scars, burn scars and stretch marks."
REC_0861,prod_77489f7a14c5,Candela,Matrix,Triple-in-One RF System,https://marketing.candelamedical.com/ANZ-Q2-Profound-Matrix-Technical-Bulletin_LP.html,Indicated for general dermatological procedures for electrocoagulation and hemostasis.
REC_0954,prod_c050d7c666c9,EndyMed Medical,PRO,EndyMed PRO,https://endymed.com/tc-applicators/,"Indicated for treatment of wrinkles and lax skin on the face, jawline and neck, including thin skin around the eyes and mouth."
REC_1011,prod_7a2627f43512,Jeisys Medical,Jeisys,EdgeONE,https://www.jeisys-us.com/edgeone,"Indicated for incision, excision, ablation, vaporization and coagulation of body soft tissues; with the scanning unit, indicated for ablative skin resurfacing."
REC_0919,prod_28fde9b0afc2,Venus Concept,Venus Versa Pro,Venus Versa Pro,https://www.venusconcept.com/en-ie/aesthetic-devices.htm,Indicated for treatment of benign pigmented epidermal and cutaneous lesions and benign cutaneous vascular lesions.
REC_0255,prod_e6660a11bb09,Evolus,Evolysse,Evolysse Lift / Smooth,https://evolysse.evolus.com/evolysse-difference,Intended for dynamic wrinkles and folds such as nasolabial folds.
REC_0762,prod_1d2fa62967bc,GPQ Srl,WiQo,PRX-T33 / WiQo Cream,https://www.med.wiqo.com/en/15890/prx-t33,"Indicated as a skin beautifier for face and body and for treatment of scars, stretch marks and prevention of dermal ageing."
