product_id,seed_record_id,company,brand,standard_product_name,source_url,closure_text
prod_6e14e145ef2e,REC_0011,Advance Esthetic,Adonyss,Adonyss,https://advance-esthetic.us/CO2-accessories,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_8a21343f9fb4,REC_0013,Advance Esthetic,Adonyss,Adonyss,https://advance-esthetic.us/nd-yag-lasers,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_0503a52bd021,REC_0782,Advance Esthetic,Zemits,冷冻溶脂/紧致,https://advance-esthetic.us/zemits,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_d8b69c2fb403,REC_0780,Advance Esthetic,Zemits,氢氧/小气泡清洁,https://advance-esthetic.us/oxygen-facial-machines,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_dd424a139094,REC_0779,Advance Esthetic,Zemits,综合面部护理工作站,https://advance-esthetic.us/lip-plumper-devices,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_0c8783cfa832,REC_0781,Advance Esthetic,Zemits,身体塑形,https://advance-esthetic.us/Body-Treatments,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_2f21fb385a5e,REC_0800,Allergan,DiamondGlow,Dermal Infusion System,https://www.allerganbrandbox.com/brand/diamondglow/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_01ad1dcd1451,REC_0313,Alma Lasers,Harmony XL Pro (辉煌360),多功能光子平台,https://almalasers.com/product/harmony-xl-pro/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_0c46aba3dc77,REC_0049,Arthrex,Arthrex ACP (Autologous Conditioned Plasma),PRP 制备系统,https://cdn.arthrex.io/image/upload/b66458e8-d855-4f3c-a126-f89b92d492e9.pdf,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_51a98bd47378,REC_0284,Aurora Medical,Fractal CO2,二氧化碳点阵激光 (CO2 Laser),https://auroradermo.com/fractal/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_8dab84e62433,REC_0099,Bio-Therapeutic,bt-micro / Fusion,Ultrasonic Exfoliation,https://www.bio-therapeutic.co.za/bt-micro-fusion-for-home,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_b9725ae1f644,REC_0100,Bio-Therapeutic,bt-titan MN,Microexfoliation (Nano-needling),https://bio-therapeutic.online/bt-titan/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_b5b19b99e3f7,REC_0544,Bluecore,Picore,Picosecond Nd:YAG,https://global.bluecorecompany.com/picore,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_14411b4c02ed,REC_0858,Candela,CO2RE,CO2 Fractional Laser,https://marketing.candelamedical.com/EMEA-HQ-CP-2020-12-CO2RE-LookBook_Registration.html?country-language=uk,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_2fac7c8740e9,REC_0854,Candela,Vbeam Pro,Enhanced Pulsed Dye Laser,http://syneron-candela.com/int/product/vbeam-perfecta,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_242bad0fc818,REC_0826,Cynosure,Clarity II,Dual-Wavelength Hair Removal,https://www.cynosurelutronicemea.com/product/clarity-ii/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_10702bb35ccc,REC_0546,Cynosure,PicoSure / PicoSure Pro,Picosecond Laser,https://marketing.cynosure.com/picosure-pro-uk,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_d2cc9437fbbb,REC_0966,Jetema,Linerase,Linerase,https://linerase.com/faq/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_b0efb78d5400,REC_1006,Lutronic / Cynosure Lutronic,Lutronic,Clarity II,https://www.cynosurelutronicemea.com/product/clarity-ii/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_8135335c187b,REC_0719,Merz,Ultherapy,Ultherapy / PRIME,https://merzaesthetics.com/news/merz-announces-new-arms-abdomen-indication-ultherapy/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_6bda158298b5,REC_0812,Merz,Ultherapy PRIME,Next-Gen MFU-V System,https://merzaesthetics.com/news/merz-announces-new-arms-abdomen-indication-ultherapy/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_a18f5a8b3e51,REC_0754,ShenB,Vivace / Virtue RF,Virtue RF,https://vivaceexperience.com/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
prod_bbc0007dbd48,REC_SKINTECH_BENEBELLUM,Skin Tech,Benebellum,Benebellum,https://www.skintechpharmagroup.com/products/brands/benebellum/,Cosmetic Use Only / 无医疗适应症；官方来源仅提供美容用途或非诊断、非治疗免责声明。
