spec_id,company_id,company,brand,product_family_id,product_family,target_product_id,spec_name,spec_value,spec_unit,spec_category,confidence,source_query_type,source_alignment,operational_status,responsible_module,next_action,source_page_url,source_title
spec_7a134da6f016,co_144427d30696,Zenix Professional,Zenix,pf_c06f73f0af4c,Clay Mask / Peel-off,,packaging_or_sku,"sku: ""SKU:"", shippingEstimatorNoResults: ""Sorry, we do not ship to your address",,packaging,official_site_spec_candidate,official_product_portfolio,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,inferred_family_from_source_text score=5 phrase=4 tokens=zenix; source alignment is source_not_cross_checked,https://esondirect.co.uk/,Zenix UK
spec_6af8d767b6dc,co_9cc62dccbc5d,TSK Laboratory,TSK,pf_6562093f2ca8,Steriglide,,packaging_or_sku,cannula,,packaging,official_site_spec_candidate,product_certificate_registration,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,"inferred_family_from_source_text score=7 phrase=4 tokens=steriglide,tsk; source alignment is source_not_cross_checked",https://jolifill.de/,TSK STERiGLIDE cannula in various sizes at Jolifill.de/en
spec_eb32c4d2f6e3,co_9cc62dccbc5d,TSK Laboratory,TSK,pf_cf7b0cf50e90,The Invisible Needle,,packaging_or_sku,needle pop-off document,,packaging,official_site_spec_candidate,product_certificate_registration,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,"inferred_family_from_source_text score=10 phrase=4 tokens=invisible,needle,the,tsk; source alignment is source_not_cross_checked",https://www.webpackaging.com/,THE INViSIBLE NEEDLE™ - Product - TSK Laboratory Europe
spec_b6793a396df2,co_7a6f66b2861e,InMode,QuantumRF,pf_51722daed5c3,Next-Gen Minimally Invasive RF,,packaging_or_sku,box-content {background: #ba004e,,packaging,official_site_spec_candidate,product_certificate_registration,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,inferred_family_from_source_text score=6 phrase=4 tokens=quantumrf; source alignment is source_not_cross_checked,https://www.fphcenter.com/,QuantumRF by InMode | Female Pelvic Health
spec_ff983b05e2ff,co_24b49d22e420,Skin Tech,RRS,pf_9f45195a45ce,RRS HA Injectable,,packaging_or_sku,"packaging designs may vary, however, we always aim to display the most current design",,packaging,official_site_spec_candidate,product_ifu_labeling,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,inferred_family_from_source_text score=5 phrase=4 tokens=rrs; source alignment is source_not_cross_checked,https://www.directdermasupplies.com/,Buy RRS HA Injectable 5ml here!
spec_2b5e51139825,co_128cffac9aff,Cocoon Medical,Cooltech Define / Cooltech,pf_442f88d810da,Cryolipolysis,,packaging_or_sku,"Vial Identification System Thermo Fisher Scientific Inc From: €3,145",,packaging,official_site_spec_candidate,product_certificate_registration,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,"inferred_family_from_source_text score=4 phrase=0 tokens=cooltech,define; source alignment is source_not_cross_checked",https://remma.fr/,COOLTECH DEFINE Cryotherapy Device - Cocoon Medical - Remma
spec_77216e99640d,co_fa17b94cf67d,Ultra V,Ultra V,pf_bd1220ccc094,Idebenone Ampoule,,packaging_or_sku,"model','600w','7w','cartoon lighting','ceiling fitting','click light','continuous lighting']",,packaging,official_site_spec_candidate,product_certificate_registration,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,"inferred_family_from_source_text score=8 phrase=4 tokens=ampoule,idebenone; source alignment is source_not_cross_checked",https://www.ec21.com/,"IDEBENONE Ampoule (4EA)(id:10979519). Buy Korea anti-aging wrinkle-reduction skincare, ampoule, skin ampule - EC21"
spec_d37b230d7af3,co_df326702aa12,HJorations,LIPO VELA,pf_f20837002dda,LIPO VELA V,,packaging_or_sku,box var selected = $('#select_box'),,packaging,official_site_spec_candidate,product_certificate_registration,blocked_domain,medium_inferred_family_source_crosscheck,official_source_crosscheck,"inferred_family_from_source_text score=6 phrase=4 tokens=lipo,vela; source alignment is blocked_domain",https://www.tradekorea.com/,Lipo Vela | tradekorea
spec_b633aeb75423,co_a1b494c2456b,Adoderm,Varioderm,pf_1e19a57b2509,HA Dermal Fillers,,packaging_or_sku,"Packaging & Printing function setlink(add) { if(add == ""VIP Membership"") { document",,packaging,official_site_spec_candidate,official_product_portfolio,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,inferred_family_from_source_text score=6 phrase=4 tokens=varioderm; source alignment is source_not_cross_checked,https://www.tradekey.com/,"Varioderm Plus Subdermal - facial augmentation - HA dermal filler from Germany By Adoderm GmbH,"
spec_f82869818308,co_5f37439c997f,Dr. PRP,Dr. PRP Centrifuge,pf_516297fc5b4d,Centrifuge,,packaging_or_sku,Packaging-Printing-Catalog/Packaging-Printing,,packaging,official_site_spec_candidate,product_certificate_registration,source_not_cross_checked,medium_inferred_family_source_crosscheck,official_source_crosscheck,"inferred_family_from_source_text score=7 phrase=4 tokens=centrifuge,prp; source alignment is source_not_cross_checked",https://infitek.en.made-in-china.com/,Infitek Cfg-B (PRP) Series Laboratory Prp Centrifuge with CE FDA Eac Certificate
