seed_record_id,company,brand,standard_product_name,reason,local_spec_rows
REC_0004,Rion Aesthetics,plated,PEP (Purified Exosome Product),no_usable_explicit_window,6
REC_0008,Arthrex,ACA-Kit (Autologous Conditioned Adipose),ACA-Kit (Autologous Conditioned Adipose),no_usable_explicit_window,2
REC_0012,Advance Esthetic,Adonyss,Adonyss,no_usable_explicit_window,5
REC_0014,Advance Esthetic,Adonyss,Adonyss,bad_text:title:,6
REC_0015,Oreon Life Science,Aessoa,Aessoa (Shine/Deep),bad_text:needle gauge,25
REC_0017,Tavger,Affinite,Affinite,no_local_spec_rows,
REC_0018,Agnes Medical,Agnes RF,绝缘微针射频,no_usable_explicit_window,39
REC_0019,Cliniccare,AHA / BHA Peels,Chemical Peel,no_usable_explicit_window,21
REC_0021,Union Medical,AirJet,AirJet II,bad_text:title:,22
REC_0023,Galderma,Alastin,Regenerating Skin Nectar,no_usable_explicit_window,4
REC_0024,Advanced Aesthetic,Algeness DF (3.5% Agarose),琼脂糖凝胶填充剂,no_local_spec_rows,
REC_0025,Advanced Aesthetic,Algeness HD (1.5% Agarose),琼脂糖凝胶填充剂,no_local_spec_rows,
REC_0026,Advanced Aesthetic,Algeness LD (1.0% Agarose),琼脂糖凝胶填充剂,no_local_spec_rows,
REC_0028,IBSA Derma,Aliaxin,Aliaxin (FL/GP/EV),no_usable_explicit_window,15
REC_0029,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,no_usable_explicit_window,4
REC_0038,Aptos,Aptos Namica,玻尿酸功能线,no_usable_explicit_window,4
REC_0042,Baz Biomedic,AquaClean / AquaClean Mini,皮肤清洁管理系统 (Aqua Peeling),no_local_spec_rows,
REC_0043,Aquavit Pharmaceuticals,Aquagold Ampoules,医用级安瓶,no_local_spec_rows,
REC_0048,Fillmed,Art Filler,Art Filler (Universal/Volume/Lips),no_usable_explicit_window,62
REC_0050,ExoCoBio,ASCE+,Regenerative Aesthetics,no_usable_explicit_window,4
REC_0052,El.En.,Asclepion,MeDioStar Monolith,no_usable_explicit_window,5
REC_0053,El.En.,Asclepion,QuadroStar PRO,source_not_official_enough,23
REC_0055,Aspen Pharmacare,Aspen,Xylocaine / EMLA,no_usable_explicit_window,34
REC_0056,Reveal Lasers,Attiva,Attiva S.I.H.,no_usable_explicit_window,21
REC_0057,Ostin Bio,Audrey,Audrey (H/S/M) / Body,no_usable_explicit_window,1
REC_0058,Alvi Prague,Autonomy / F-Series,综合美容工作站,no_local_spec_rows,
REC_0061,Dr. Babor,BABOR Ampoules,Ampoule Concentrates,source_not_official_enough,42
REC_0062,Dr. Babor,BABOR Tech / SkinFusion,Skin Management Device,no_local_spec_rows,
REC_0063,Institute BCN,BCN,BCN Classics,no_usable_explicit_window,17
REC_0067,HansBiomed.,BellaGel,BellaGel Micro,no_local_spec_rows,
REC_0068,Dongkook Pharma,Bellast (贝拉斯特),HA Dermal Filler,no_local_spec_rows,
REC_0071,Benev,Benev GF Series (GF-DNA),Growth Factors,no_usable_explicit_window,18
REC_0073,Body Health,BHS 156 Venera / Iconyc,Body Contouring Platform,no_usable_explicit_window,12
REC_0074,Body Health,BHS 201 / Cryo-Frequency,Cryo-Radiofrequency,no_local_spec_rows,
REC_0075,Body Health,BHS 202 / BHS 156 (HIMFU),HIMFU (Body Contouring),no_usable_explicit_window,26
REC_0076,Bio-Therapeutic,Bio-Brasion Trinity / GEN4,Wet/Dry Microdermabrasion,no_usable_explicit_window,6
REC_0077,Abio Materials,BioExo-Water,植物外泌体原料,no_local_spec_rows,
REC_0079,Eberlin,Biological Line,Professional,no_usable_explicit_window,9
REC_0080,Nexgen Bio,Biometics,Spider Cream / Toxin,no_local_spec_rows,
REC_0081,Zepter,Bioptron 2 / Pro 1,Light Therapy (Photobiomodulation),no_usable_explicit_window,76
REC_0082,Zepter,Bioptron MedAll,Light Therapy,no_usable_explicit_window,72
REC_0084,CMed Aesthetics,BioReTherapy (Hydra/Lift),Post-Procedure,no_usable_explicit_window,19
REC_0085,Dr. Korman,Biorevitalizers,Biorevitalization,no_usable_explicit_window,9
REC_0086,Bio-Therapeutic,Bio-Ultimate Platinum,Microcurrent,no_usable_explicit_window,12
REC_0087,Aurora Medical,BlackBox,皮肤镜/诊断系统,no_local_spec_rows,
REC_0088,Hugel,BlueRose,BlueRose Threads,bad_text:title:,5
REC_0090,BMED,Bontempi,B.A.F.F.I. Kit,no_usable_explicit_window,6
REC_0091,BMED,Bontempi,Supercut Scissors,no_usable_explicit_window,5
REC_0092,BMED,Bontempi,Rhinoplasty Instruments,no_usable_explicit_window,8
REC_0093,Ostin Bio,B-OstIN,B-OstIN,no_local_spec_rows,
REC_0095,DSD Pharm,Botox Like Hair Therapy,Hair Structure,no_usable_explicit_window,1
REC_0096,Dexlevo,Bravity,Topical Serum / Ampoule,no_local_spec_rows,
REC_0102,Cliniccare,Carbon Peel Paste,Carbon Paste,no_local_spec_rows,
REC_0104,Abio Materials,Celexo,术后修复与抗衰,no_usable_explicit_window,20
REC_0105,Suisselle,Cellbooster Hair / Shape,Hair / Fat,no_usable_explicit_window,19
REC_0106,Suisselle,Cellbooster PN,PN (Polynucleotide),no_local_spec_rows,
REC_0107,Abio Materials,CellExosome®,外泌体皮肤动能素/水光,no_usable_explicit_window,11
REC_0108,Cha Meditech,Celltermi,Skin Booster,no_usable_explicit_window,13
REC_0109,ExoCoBio,Celltweet,Cosmeceuticals,no_usable_explicit_window,21
REC_0111,CGBIO / Cell Growth Bio,CELLUNIT,SVF Isolation,no_usable_explicit_window,1
REC_0112,Dongkook Pharma,Centellian24 (Madeca Cream),Cosmeceuticals,no_usable_explicit_window,5
REC_0113,L'Oréal,CeraVe,Moisturizing Cream,no_usable_explicit_window,41
REC_0114,Galderma,Cetaphil,Gentle Skin Cleanser,no_usable_explicit_window,26
REC_0115,Biotec,CFU Èlife,HIFU (Focused Ultrasound),no_usable_explicit_window,26
REC_0118,Sinclair Pharma,Cocoon Medical,Cooltech Define,no_usable_explicit_window,8
REC_0119,Sinclair Pharma,Cocoon Medical,Primelase,no_usable_explicit_window,30
REC_0120,Sinclair Pharma,Cocoon Medical,Elysion Pro,no_usable_explicit_window,31
REC_0123,Zepter,Color Light Therapy Set,Color Filters,no_usable_explicit_window,7
REC_0124,Christina Cosmeceuticals,Comodex,Comodex Treatment,no_usable_explicit_window,8
REC_0126,A.A.M.S.,Concerto,Mesogun,no_usable_explicit_window,4
REC_0128,Cocoon Medical,Cooltech Define / Cooltech,Cryolipolysis,no_usable_explicit_window,4
REC_0131,E.I.C.O.,Cosmeceuticals,Manufacturing,bad_text:title:,2
REC_0134,Deleo,CRISTAL Fit,HI-EMS,no_usable_explicit_window,10
REC_0137,Samyang Holdings,Croquis,Croquis Threads,no_usable_explicit_window,8
REC_0138,Brymill,Cry-Ac® / Cry-Ac®-3,Cryosurgery,no_usable_explicit_window,44
REC_0141,Cryoalfa,Cryoalfa LUX / SUPER,Cryotherapy Pen,no_usable_explicit_window,29
