batch_no,applied_status,source_row_id,company,product_or_family,action_applied,dashboard_effect,note,source_url
MISS-006,applied,REC_0435,Melsmon Pharmaceutical,Melsmon,activated existing source row,+1 active product line,activated from excluded: user confirmed Melsmon placenta extract as upstream clinic-use injectable/mesotherapy product line.,
MISS-013,applied,REC_0391,Japan Bio Products / JBP,Laennec / Curacen,activated existing source row,+1 active product line,activated from excluded: user confirmed JBP Laennec / Curacen placenta extract product line.,
MISS-032,applied,REC_0507,Nunii Laboratoire,Nunii,activated existing source row,+1 active product line,activated from excluded and reclassified to Skincare > Professional.,
MISS-018,applied,REC_0666,Skymedic,Skymedic,activated existing source row,+1 active product line,activated from deleted and reclassified away from oral supplement framing.,
MISS-003,applied,REC_0176,Huons Meditech,DermaShine / Premium 9-Pin Needle,merged into existing DermaShine line,no product-count increase,Accessory needle candidate attached to DermaShine consumables line.,
MISS-007 / MAP-01,applied,REC_0515,PRP Science / Ubio Biotechnology,Olidia,mapping confirmed; no duplicate row added,resolved without product-count increase,Olidia already active; user confirmed company-mapping issue. Keep one active product line and note Ubio/PRP Science attribution for later certificate-level refinement.,
MISS-011 / MISS-022 / MAP-02,applied,REC_0424,Sinclair Pharma / Kylane,MaiLi,mapping confirmed; no duplicate row added,resolved without product-count increase,MaiLi remains active under Sinclair global commercialization with Kylane as development/manufacturing/registration party.,
MISS-011 / MAP-02,applied,REC_0426,Kylane,Kysense,mapping confirmed; no duplicate row added,resolved without product-count increase,Kysense remains active under Kylane; related MaiLi/Kysense signal resolved without adding duplicate MaiLi rows.,
MISS-015 / MAP-03,applied,REC_0661,Crown Aesthetics,SkinPen,company corrected to Crown; no Revance duplicate,resolved without product-count increase,SkinPen belongs under Crown/Crown Aesthetics; Revance candidate treated as wrong-company lead.,
MISS-021 / MAP-04,applied,REC_0383,Eltech K-Laser,K-Laser,company alias mapping confirmed,resolved without product-count increase,Eltech candidate resolved as Eltech K-Laser alias/standard-name mapping; no duplicate product line added.,
MISS-029 / MAP-05,applied,REC_0379,SkinQRI,KeraFactor,company checked; no Skinedit duplicate,resolved without product-count increase,"Official KeraFactor pages identify KeraFactor by SkinQRI; Skinedit is treated as unrelated/weak nutricosmetic signal, not a duplicate owner row.",
MISS-007 / MAP-01,applied,REC_0514,Ubio Biotechnology,Olidia,kept duplicate/wrong-company row closed,no product-count increase,Duplicate/alternate company row kept deleted; active Olidia row carries the mapping note.,
MISS-011 / MISS-022 / MAP-02,applied,REC_0425,Kylane,MaiLi,kept duplicate/wrong-company row closed,no product-count increase,Duplicate Kylane MaiLi row kept deleted; active Sinclair MaiLi row carries Kylane manufacturer/registration context.,
MISS-015 / MAP-03,applied,REC_0929,Revance Therapeutics,SkinPen,kept duplicate/wrong-company row closed,no product-count increase,Wrong-company SkinPen row kept deleted; active Crown SkinPen row is authoritative for the dashboard.,
MISS-029 / MAP-05,applied,REC_0378,Skinedit Nutricosmetics,KeraFactor,kept duplicate/wrong-company row closed,no product-count increase,Duplicate/weak Skinedit KeraFactor row kept deleted after SkinQRI check.,
oral-rule,applied,REC_0658,Skinedit Nutricosmetics,Drinkable Skincare,excluded oral nutricosmetic source row,-1 active product line,User scope rule excludes oral beauty supplements/nutricosmetics from the medical aesthetics upstream database.,
MISS-001,applied,REC_1056,Bimini Health Tech,Dermapose Fat Transfer Product Suite,added new product line,+1 active product line,New Bimini Health Tech fat-transfer product-family row added from user-confirmed MISS decision.,https://www.prnewswire.com/news-releases/bimini-health-tech-achieves-eu-mdr-certification-302770477.html
MISS-002,applied,REC_1057,Bimini Health Tech,Puregraft Fat Transfer Product Suite,added new product line,+1 active product line,New Bimini Health Tech fat-transfer product-family row added from user-confirmed MISS decision.,https://www.prnewswire.com/news-releases/bimini-health-tech-achieves-eu-mdr-certification-302770477.html
MISS-004,resolved_no_source_write,,Gold Collagen,Gold Collagen,candidate excluded from future missing-product queue,no product-count increase,Oral collagen/nutricosmetic product; excluded by user scope rule.,https://beautyethic.com/ar/pages/gold-collagen
MISS-005,resolved_no_source_write,,Novartis,Cosentyx,candidate excluded from future missing-product queue,no product-count increase,Traditional psoriasis biologic/serious dermatology drug; outside upstream medical aesthetics scope.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761349Orig1s007lbl.pdf
MISS-008,resolved_no_source_write,,Biocyte,Collagen Express,candidate excluded from future missing-product queue,no product-count increase,Oral supplement/nutricosmetic; excluded by user scope rule.,https://www.biocyte.com/products/beauty-box
MISS-009,resolved_no_source_write,,Alta Care,Altaflora,candidate excluded from future missing-product queue,no product-count increase,Probiotic/gut-health food supplement; excluded by user scope rule.,https://www.altacarelaboratoires.com/collections
MISS-010,resolved_no_source_write,,Biocyte,Keratine Forte,candidate excluded from future missing-product queue,no product-count increase,Oral hair supplement; excluded by user scope rule.,https://bioax.fr/en/wellness/22671keratine-forte-full-spectrum-120-gelules-biocyte-3770008244078.html
MISS-012,resolved_no_source_write,,Galderma,Mirvaso,candidate excluded from future missing-product queue,no product-count increase,Rosacea prescription drug; outside upstream aesthetics product-line scope.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/204708lbl.pdf
MISS-014,resolved_no_source_write,,OEO Firenze,OEO,candidate excluded from future missing-product queue,no product-count increase,Professional book/publisher brand; not an upstream device/material product line.,https://oeofirenze.com/
MISS-016,resolved_no_source_write,,Bayer,Priorin,candidate excluded from future missing-product queue,no product-count increase,Oral anti-hair-loss product; excluded by user scope rule.,https://www.arzneimittel-datenbank.de/produkt/priorin-120-st-04002065
MISS-017,resolved_no_source_write,,Galderma,Soolantra,candidate excluded from future missing-product queue,no product-count increase,Rosacea/acne prescription drug; outside upstream aesthetics product-line scope.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/206255s005s009lbl.pdf
MISS-019,resolved_no_source_write,,Vampire Facial,Vampire,candidate excluded from future missing-product queue,no product-count increase,"Registered service/procedure name, not a tangible upstream device/material product line.",https://aestheticcg.com/vampire-facial/
MISS-020,resolved_no_source_write,,Galderma,Epiduo / Epiduo Forte,candidate excluded from future missing-product queue,no product-count increase,Acne prescription drug; outside upstream aesthetics product-line scope.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207917Orig1s000lbl.pdf
MISS-023,resolved_no_source_write,,Galderma,Aklief,candidate excluded from future missing-product queue,no product-count increase,Acne prescription drug; outside upstream aesthetics product-line scope.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/211527Orig1s000OtherR.pdf
MISS-024,resolved_no_source_write,,Lemi,Lemi,candidate excluded from future missing-product queue,no product-count increase,Furniture/clinic chair-bed manufacturer; not clinical treatment core device/material.,https://archello.com/product/64782/attachments/brochures
MISS-025,resolved_no_source_write,,Collagen Matrix / Regenity Biosciences,NeuroMatrix / NeuroMend,candidate excluded from future missing-product queue,no product-count increase,Neuro/dental/bone repair biomaterial; outside this aesthetics upstream product scope.,https://accessgudid.nlm.nih.gov/devices/00813954020174
MISS-026,resolved_no_source_write,,London Regenerative Institute,LRI,candidate excluded from future missing-product queue,no product-count increase,Downstream clinic/service institution and supplements; not upstream device/injectable manufacturer.,https://www.artislondon.com/shop/p/regenerative-complex
MISS-027,resolved_no_source_write,,BTL,EXOMIND,candidate excluded from future missing-product queue,no product-count increase,Depression-treatment device; outside aesthetics upstream scope.,https://app.qwoted.com/products/exomind
MISS-028,resolved_no_source_write,,BioElectronics,ActiPatch,candidate excluded from future missing-product queue,no product-count increase,Pain-management device; outside aesthetics upstream scope.,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192234.pdf
MISS-030,resolved_no_source_write,,Altis Biologics,Altis OBM,candidate excluded from future missing-product queue,no product-count increase,Orthopedic biologic/bone repair direction; outside aesthetics upstream scope.,https://altisbiologics.com/
MISS-031,resolved_no_source_write,,Next Biosciences,Netcells,candidate excluded from future missing-product queue,no product-count increase,Stem-cell banking/service institution; not a tangible upstream aesthetics product line.,https://nextbio.co.za/Products/Patient
