batch_no,user_decision,candidate_company,candidate_product_or_family,master_action,existing_product_id_or_ids,proposed_final_name,action_note,sample_url
MISS-001,新增为产品线,Bimini Health Tech,Dermapose Fat Transfer Product Suite,ADD_PRODUCT_LINE,,Bimini Health Tech / Dermapose / Dermapose Fat Transfer Product Suite,Add new Bimini Health Tech / Dermapose product-family row; no current master match found.,https://www.prnewswire.com/news-releases/bimini-health-tech-achieves-eu-mdr-certification-302770477.html
MISS-002,新增为产品线,Bimini Health Tech,Puregraft Fat Transfer Product Suite,ADD_PRODUCT_LINE,,Bimini Health Tech / Puregraft / Puregraft Fat Transfer Product Suite,Add new Bimini Health Tech / Puregraft product-family row; no current master match found.,https://www.prnewswire.com/news-releases/bimini-health-tech-achieves-eu-mdr-certification-302770477.html
MISS-003,并入现有产品,Huons Meditech,Premium 9-Pin Needle,MERGE_TO_EXISTING,prod_34f1bcd4274c,Huons Meditech / DermaShine / Premium 9-Pin Needle,Accessory/needle candidate should be attached to the existing DermaShine consumables line.,https://huonsmeditech.com/layout/eng/home.php?mid=30&go=pds.list&pds_type=7&start=0&num=1288&s_key1=&s_key2=&s_que=
MISS-004,排除-非医美/非上游,Gold Collagen,Gold Collagen,EXCLUDE_CANDIDATE,,Gold Collagen / Gold Collagen,Oral collagen/nutricosmetic product; excluded by user scope rule.,https://beautyethic.com/ar/pages/gold-collagen
MISS-005,排除-非医美/非上游,Novartis,Cosentyx,EXCLUDE_CANDIDATE,,Novartis / Cosentyx,Traditional psoriasis biologic/serious dermatology drug; outside upstream medical aesthetics scope.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761349Orig1s007lbl.pdf
MISS-006,新增为产品线,Melsmon Pharmaceutical,Melsmon,ADD_PRODUCT_LINE,,Melsmon Pharmaceutical / Melsmon / Melsmon,Add new Melsmon placenta extract product line; no current master match found.,https://abchealthonline.com/6592280-melsmon-instructions-for-use-of-the-drug-reviews-price-analogues
MISS-007,新增为产品线,Ubio Biotechnology,Olidia,LINK_EXISTING_REVIEW_COMPANY_MAPPING,prod_0393dd76da33,Ubio Biotechnology / Olidia -> existing PRP Science / Olidia,Olidia already exists in master under PRP Science; review whether Ubio Biotechnology is manufacturer/owner/distributor before adding any duplicate.,https://www.bionicsgroup.com/olidia-collagen-stimulator/
MISS-008,排除-非医美/非上游,Biocyte,Collagen Express,EXCLUDE_CANDIDATE,,Biocyte / Collagen Express,Oral supplement/nutricosmetic; excluded by user scope rule.,https://www.biocyte.com/products/beauty-box
MISS-009,排除-非医美/非上游,Alta Care,Altaflora,EXCLUDE_CANDIDATE,,Alta Care / Altaflora,Probiotic/gut-health food supplement; excluded by user scope rule.,https://www.altacarelaboratoires.com/collections
MISS-010,排除-非医美/非上游,Biocyte,Keratine Forte,EXCLUDE_CANDIDATE,,Biocyte / Keratine Forte,Oral hair supplement; excluded by user scope rule.,https://bioax.fr/en/wellness/22671keratine-forte-full-spectrum-120-gelules-biocyte-3770008244078.html
MISS-011,新增为产品线,Kylane,MaiLi / Kysense,LINK_EXISTING_REVIEW_COMPANY_MAPPING,prod_0312a9818883; prod_a42d9b6e3f31,Kylane / MaiLi / Kysense,MaiLi already exists under Sinclair Pharma and Kysense exists under Kylane; review ownership/registration mapping rather than adding duplicate MaiLi rows.,https://aestheticmed.co.uk/kysense-ha-dermal-filler-brand
MISS-012,排除-非医美/非上游,Galderma,Mirvaso,EXCLUDE_CANDIDATE,,Galderma / Mirvaso,Rosacea prescription drug; outside upstream aesthetics product-line scope.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/204708lbl.pdf
MISS-013,新增为产品线,Japan Bio Products / JBP,Laennec / Curacen,ADD_PRODUCT_LINE,,Japan Bio Products (JBP) / Laennec / Curacen,JBP exists but current master match is Nanoneedle only; add Laennec / Curacen placenta extract product line separately.,https://jbp.placenta.co.jp/about/
MISS-014,排除-非医美/非上游,OEO Firenze,OEO,EXCLUDE_CANDIDATE,,OEO Firenze / OEO,Professional book/publisher brand; not an upstream device/material product line.,https://oeofirenze.com/
MISS-015,改公司/品牌后再看,Revance Therapeutics,SkinPen,LINK_EXISTING_REVIEW_COMPANY_MAPPING,prod_983de29a286a; prod_2198cf722e15,Crown Aesthetics / SkinPen,"SkinPen already exists under Crown; candidate source company Revance is wrong, so link/correct mapping rather than adding a new SkinPen row.",https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202243.pdf
MISS-016,排除-非医美/非上游,Bayer,Priorin,EXCLUDE_CANDIDATE,,Bayer / Priorin,Oral anti-hair-loss product; excluded by user scope rule.,https://www.arzneimittel-datenbank.de/produkt/priorin-120-st-04002065
MISS-017,排除-非医美/非上游,Galderma,Soolantra,EXCLUDE_CANDIDATE,,Galderma / Soolantra,Rosacea/acne prescription drug; outside upstream aesthetics product-line scope.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/206255s005s009lbl.pdf
MISS-018,新增为产品线,Skymedic,Skymedic,ADD_PRODUCT_LINE,,Skymedic / Skymedic / EBD and Fotoskinox portfolio,Add new Skymedic product/portfolio row; no current master match found.,https://old.skymedic.eu/es-pt/
MISS-019,排除-非医美/非上游,Vampire Facial,Vampire,EXCLUDE_CANDIDATE,,Vampire Facial / Vampire Facial,"Registered service/procedure name, not a tangible upstream device/material product line.",https://aestheticcg.com/vampire-facial/
MISS-020,排除-非医美/非上游,Galderma,Epiduo / Epiduo Forte,EXCLUDE_CANDIDATE,,Galderma / Epiduo / Epiduo Forte,Acne prescription drug; outside upstream aesthetics product-line scope.,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207917Orig1s000lbl.pdf
MISS-021,新增为产品线,Eltech,K-Laser,LINK_EXISTING_REVIEW_COMPANY_MAPPING,prod_86ec90940bba,Eltech / K-Laser -> existing Eltech K-Laser / K-Laser,K-Laser already exists under Eltech K-Laser; treat candidate Eltech as a company-name normalization/alias issue.,https://bimedis.com/eltech-k-laser-m7735
MISS-022,新增为产品线,Kylane,MaiLi,LINK_EXISTING_REVIEW_COMPANY_MAPPING,prod_0312a9818883; prod_a42d9b6e3f31,Kylane / MaiLi,MaiLi already exists under Sinclair Pharma and Kylane/Kysense exists; review mapping rather than adding duplicate.,https://filler-france.com/en/home/380-maili-precise-4x1ml.html
MISS-023,排除-非医美/非上游,Galderma,Aklief,EXCLUDE_CANDIDATE,,Galderma / Aklief,Acne prescription drug; outside upstream aesthetics product-line scope.,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2019/211527Orig1s000OtherR.pdf
MISS-024,排除-非医美/非上游,Lemi,Lemi,EXCLUDE_CANDIDATE,,Lemi / Lemi,Furniture/clinic chair-bed manufacturer; not clinical treatment core device/material.,https://archello.com/product/64782/attachments/brochures
MISS-025,排除-非医美/非上游,Collagen Matrix / Regenity Biosciences,NeuroMatrix / NeuroMend,EXCLUDE_CANDIDATE,,Collagen Matrix / Regenity Biosciences / NeuroMatrix / NeuroMend,Neuro/dental/bone repair biomaterial; outside this aesthetics upstream product scope.,https://accessgudid.nlm.nih.gov/devices/00813954020174
MISS-026,排除-非医美/非上游,London Regenerative Institute,LRI,EXCLUDE_CANDIDATE,,London Regenerative Institute / LRI,Downstream clinic/service institution and supplements; not upstream device/injectable manufacturer.,https://www.artislondon.com/shop/p/regenerative-complex
MISS-027,排除-非医美/非上游,BTL,EXOMIND,EXCLUDE_CANDIDATE,,BTL / EXOMIND,Depression-treatment device; outside aesthetics upstream scope.,https://app.qwoted.com/products/exomind
MISS-028,排除-非医美/非上游,BioElectronics,ActiPatch,EXCLUDE_CANDIDATE,,BioElectronics / ActiPatch,Pain-management device; outside aesthetics upstream scope.,https://www.accessdata.fda.gov/cdrh_docs/pdf19/K192234.pdf
MISS-029,新增为产品线,Skinedit Nutricosmetics,KeraFactor,LINK_EXISTING_REVIEW_COMPANY_MAPPING,prod_4ee93ce963da,Skinedit Nutricosmetics / KeraFactor -> existing SkinQRI / KeraFactor,KeraFactor already exists under SkinQRI; review whether Skinedit Nutricosmetics is owner/distributor before adding duplicate.,https://aestheticmedicalpractitioner.com.au/directory/products/kerafactor/
MISS-030,排除-非医美/非上游,Altis Biologics,Altis OBM,EXCLUDE_CANDIDATE,,Altis Biologics / Altis OBM,Orthopedic biologic/bone repair direction; outside aesthetics upstream scope.,https://altisbiologics.com/
MISS-031,排除-非医美/非上游,Next Biosciences,Netcells,EXCLUDE_CANDIDATE,,Next Biosciences / Netcells,Stem-cell banking/service institution; not a tangible upstream aesthetics product line.,https://nextbio.co.za/Products/Patient
MISS-032,新增为产品线,Nunii Laboratoire,Nunii,ADD_PRODUCT_LINE,,Nunii Laboratoire / Nunii / Professional Peels and Pigmentation Treatment,Add new professional peels/pigmentation-treatment product line; no current master match found.,https://www.anti-age-magazine.com/nunii-laboratoire/
MISS-033,排除-非医美/非上游,Collagen Matrix / Regenity Biosciences,MatrixDerm / MatrixMem,EXCLUDE_CANDIDATE,,Collagen Matrix / Regenity Biosciences / MatrixDerm / MatrixMem,Neuro/dental/bone repair biomaterial; outside this aesthetics upstream product scope.,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMN/pmn.cfm?ID=K100156
MISS-034,排除-非医美/非上游,Orbio Innovations,Orbio,EXCLUDE_CANDIDATE,,Orbio Innovations / Orbio,Orthopedic biologic/bone repair direction; outside aesthetics upstream scope.,https://www.biopsybell.com/products/ortho-biologics/orthoplasty-subchondral-bone-plasty/
MISS-035,错位归属-不新增,BioPlus,REJURAN,EXCLUDE_CANDIDATE,,BioPlus / REJURAN,User confirmed Rejuran belongs to PharmaResearch / PR Bio; BioPlus evidence should map to Kiara Reju or be ignored as wrong attribution.,http://bioplus-kiarareju.com/KiaraReju
MISS-036,错位归属-不新增,BioPlus,REJURAN HB,EXCLUDE_CANDIDATE,,BioPlus / REJURAN HB,User confirmed Rejuran HB belongs to PharmaResearch / PR Bio; do not add BioPlus duplicate from distributor/search excerpts.,https://www.ellepharm.com/shop/0142-rejuran-hb-193
MISS-037,错位归属-不新增,Jetema,Yvoire,LINK_EXISTING_REVIEW_COMPANY_MAPPING,prod_e074be487e63,LG Chem / Yvoire,User confirmed Yvoire belongs to LG Chem; Jetema duplicate/wrong attribution excluded and evidence unlinked.,https://global.lgyvoire.com/yvoire.jsp
MISS-038,错位归属-不新增,Dongkook Pharma,Nabota,LINK_EXISTING_REVIEW_COMPANY_MAPPING,prod_9060828d2c15,Daewoong / Nabota,User confirmed Nabota belongs to Daewoong; Dongkook duplicate/wrong attribution excluded and evidence unlinked.,https://www.nabotasea.com/
MISS-039,排除-非医美/非上游,Daejoo,PDRN / PN API,EXCLUDE_CANDIDATE,,Daejoo / PDRN / PN API,User confirmed this is raw PDRN/PN API material and should not be added as terminal aesthetic product line.,https://salmonbio.com/
MISS-040,并入现有产品,APS,Carboxytherapy (卡波西/二氧化碳疗法),MERGE_TO_EXISTING,prod_58d04fb61007,APS / Venusian CO2 Therapy / Carboxytherapy (CO2 Therapy),Candidate is already covered by active APS Venusian CO2 Therapy device line.,https://venusian.it/
