company_id,company,stock_code,listing_country,responsible_module,revenue_status,aesthetics_segment_status,revenue_year,revenue_usd_m,gross_margin_pct,financial_review_status,segment_queue_priority,expected_source,source_url,next_action,captured_at
co_1e1e1b7d3b6d,Aspen Pharmacare,APN.JSE,,official_ir_or_exchange_filing_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,valuation_missing_price_only,P1,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/APN.JO?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_b8193aa0cc96,BenQ,8215.TW,,official_ir_or_exchange_filing_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P2,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/8215.TW?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_2e4d3c90fc97,BioElectronics,OTC:BIEL,,sec_xbrl_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P3,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/BIEL?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_8264aaca4586,BNC Korea,KRX:256840,KR,non_us_ir_annual_report_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P3,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/256840.KQ?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_3e66a07fd5fd,Daewoong,KRX:069620,KR,already_promoted_company_financial_metrics,total_revenue_promoted,needs_aesthetics_segment_or_not_disclosed_review,2025,1105.17,52.36,manual_verified,P1,Company annual report or investor-relations segment disclosure.,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20260318002184&method=search,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_5b54a3e28f4c,Dongkook Pharma,KRX:086450,KR,non_us_ir_annual_report_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P2,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/086450.KQ?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_9ebcc3762c46,El.En.,ELN.MI,IT,official_ir_or_exchange_filing_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P2,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/ELN.MI?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_2d09d05893cd,Galderma,SIX:GALD,CH,non_us_ir_annual_report_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,manual_pending_verification,P1,Company annual report or investor-relations segment disclosure.,https://www.galderma.com/investors,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_100e7fd504d3,Halozyme Therapeutics,NASDAQ:HALO,US,already_promoted_company_financial_metrics,total_revenue_promoted,needs_aesthetics_segment_or_not_disclosed_review,2025,1396.61,0.44,official_sec_xbrl_auto,P1,Annual filing segment footnotes and MD&A; SEC XBRL total revenue is not enough.,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_5d4b35b57193,Humedix,KOSDAQ:200670,,segment_ir_or_annual_report_review,not_in_revenue_plan,needs_aesthetics_segment_or_not_disclosed_review,2026,73,,pending_live_fetch,P3,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/200670.KQ?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_76db60d04479,Ipsen Pharma,IPN.PA,,already_promoted_company_financial_metrics,total_revenue_promoted,needs_aesthetics_segment_or_not_disclosed_review,2025,4156.05,86.5,manual_verified,P1,Company annual report or investor-relations segment disclosure.,https://www.ipsen.com/wp-content/uploads/2026/02/Ipsen-PR_FY-2025-Results-Announcement_12022026.pdf,"Promote official Dysport Aesthetics sales of EUR 436.4m, 11.87% of FY2025 total sales, into a segment-specific aesthetics revenue lane; keep total-revenue row separate.",2026-07-07T13:49:44+08:00
co_a133809740b7,Johnson & Johnson,NASDAQ:JNJ,US,already_promoted_company_financial_metrics,total_revenue_promoted,needs_aesthetics_segment_or_not_disclosed_review,2025,94193.00,67.88,official_sec_xbrl_auto,P1,Annual filing segment footnotes and MD&A; SEC XBRL total revenue is not enough.,https://data.sec.gov/api/xbrl/companyfacts/CIK0000200406.json,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_0795c0f3f22e,Julphar,JULPHAR,,official_ir_or_exchange_filing_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,valuation_fetch_failed,P3,"Company annual report, investor deck, or explicit not-disclosed review.",https://finance.yahoo.com/quote/JULPHAR/financials/,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_314282d4909e,Kaneka Corporation,4118.T,,official_ir_or_exchange_filing_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P1,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/4118.T?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_e88e88c84032,L'Oréal,OR.PA,,already_promoted_company_financial_metrics,total_revenue_promoted,needs_aesthetics_segment_or_not_disclosed_review,2025,49806.14,74.3,manual_verified,P1,Company annual report or investor-relations segment disclosure.,https://www.loreal.com/en/press-release/finance/2025-annual-results/,"Use FY2025 group sales as total-revenue context, then review Dermatological Beauty and Professional Products disclosures for an aesthetics-relevant segment bridge; do not infer a medical-aesthetics share from group beauty sales alone.",2026-07-07T13:49:44+08:00
co_d6440f82a9a2,LG Chem,KRX:051910,KR,non_us_ir_annual_report_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,valuation_missing_price_only,P1,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/051910.KQ?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_c621592aac90,Lumibird,LBIRD.PA,,non_us_ir_annual_report_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P2,Company annual report or investor-relations segment disclosure.,https://query1.finance.yahoo.com/v8/finance/chart/LBIRD.PA?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_f1444f50d0fc,Maxigen Biotech / MBI,1783.TWO,,official_ir_or_exchange_filing_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P3,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/1783.TW?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_11eac4967d16,Meta Biomed,KRX:059210,KR,non_us_ir_annual_report_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P3,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/059210.KQ?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_facd9a6ad8cf,Samyang Holdings,KRX:000070,KR,non_us_ir_annual_report_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,valuation_missing_price_only,P1,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/000070.KQ?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_93f3d88be68a,SciVision Biotech,1786.TW,,official_ir_or_exchange_filing_collector,ready_to_collect,needs_aesthetics_segment_or_not_disclosed_review,,,,price_refreshed_valuation_carried_forward,P3,"Company annual report, investor deck, or explicit not-disclosed review.",https://query1.finance.yahoo.com/v8/finance/chart/1786.TW?range=5d&interval=1d,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-07-07T13:49:44+08:00
co_9a82bf01c9b2,Across,KRX:145020,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_cf401ffd51b6,Allergan,NASDAQ:ABBV,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2025,61160.00,19.73,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001551152.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_83052922054b,Alma Lasers,HKEX:1696,HK,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2025,365.3,58.9,manual_verified,,Investor relations / annual report / exchange or securities filing,https://sisram-medical.com/wp-content/uploads/2026/04/ENG-Sisram-2025-Annual-Report.pdf,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_ea11172b59bc,Apyx Medical,NASDAQ:APYX,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2025,52.84,62.53,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000719135.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_bbabeba3ee10,Asclepion,ELN.MI,IT,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_f8a69fb5e02a,Asclepion Laser,ELN.MI,IT,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
,Bayer,BAYN (XETRA),,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_2dac0f5dd9af,Beauty Health,NASDAQ:SKIN,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2025,300.79,65.28,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001818093.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_6dbf5a3b4e4d,BioPlus,KRX:099430,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_8bad4b58ff47,Caregen,KRX:214370,KR,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2024,60.57,66.98,manual_verified,,Investor relations / annual report / exchange or securities filing,https://kind.krx.co.kr/common/disclsviewer.do?acptno=20250317001260&method=search,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_6925fca65df2,Cha Meditech,KRX:085660,KR,non_us_ir_annual_report_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_a48a6103f37e,Classys,KRX:214150,KR,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2024,178.18,78.67,manual_verified,,Investor relations / annual report / exchange or securities filing,https://classys.com/wp-content/uploads/sites/2/2025/04/Annual-Report_CLASSYS_2024_Eng_vS_250430.pdf,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_128cffac9aff,Cocoon Medical,000963.SZ,CN,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_78d004d00c9c,Cutera,NASDAQ:CUTR,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2020,49.94,83.08,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001162461.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
co_0bb8193c1281,DEKA,ELN.MI,IT,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_c87804d7fff0,EndyMed Medical,ENDY.TA,,official_ir_or_exchange_filing_collector,ready_to_collect,no_current_segment_gap,,,,,,Investor relations / annual report / exchange or securities filing,,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T13:49:44+08:00
co_679ba894b79b,Establishment Labs,NASDAQ:ESTA,US,already_promoted_company_financial_metrics,total_revenue_promoted,no_current_segment_gap,2025,211.08,69.32,official_sec_xbrl_auto,,Investor relations / annual report / exchange or securities filing,https://data.sec.gov/api/xbrl/companyfacts/CIK0001688757.json,Keep refreshed during financial promote runs.,2026-07-07T13:49:44+08:00
