matched,seed_record_id,product_id,company,brand,standard_product_name,registered_name,commercial_path_l1,commercial_path_l2,technology_path_l1,technology_path_l2,material_or_energy_source,legal_manufacturer,manufactured_by,marketing_holder,inclusion_status,verification_status,source_status
carboxy,REC_0103,prod_e82970bd0f01,A.A.M.S.,Carboxy-Pen,Carboxytherapy Devices,,EBD,Laser,CO2 Laser,,CO2 Laser,A.A.M.S.,,A.A.M.S.,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
carboxy|concerto,REC_0126,prod_2f91ca9586c5,A.A.M.S.,Concerto,Mesogun,,Injectables,Mesotherapy,Mesotherapy,,Mesotherapy,A.A.M.S.,,A.A.M.S.,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0720,prod_1121b71a86b2,A.A.M.S.,Ultim,Mesogun,,Injectables,Mesotherapy,Mesotherapy,,Mesotherapy,A.A.M.S.,,A.A.M.S.,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
meso-xanthin,REC_0449,prod_af609a9607d3,ABG Lab LLC,Meso-Xanthin F199™,Anti-Aging & Regeneration,Meso-Xanthin F199,Injectables,Skin Booster,Hyaluronic Acid,,Hyaluronic Acid,ABG Lab LLC,ABG Lab LLC,ABG Lab LLC,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_evidence_promoted"
varioderm,REC_0321,prod_8db21b484a1e,Adoderm,Hyabell,HA Dermal Fillers,HA Dermal Fillers,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,Adoderm,,Adoderm,active,official_evidence_promoted,"official_company_certificate, official_product_document, official_product_page, official_spec_candidate"
varioderm|touch my skin|tms,REC_0707,prod_5a01421eb21a,Adoderm,Touch My Skin (TMS) / Varioderm Mesolift,Skin Boosters,,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,Adoderm,,Adoderm,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
varioderm,REC_0734,prod_7703e44c0da3,Adoderm,Varioderm,HA Dermal Fillers,,Injectables,Dermal Filler,Hyaluronic Acid,,Hyaluronic Acid,Adoderm,,Adoderm,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0779,prod_dd424a139094,Advance Esthetic,Zemits,综合面部护理工作站,,EBD,HIFU,LIPUS,,LIPUS,Advance Esthetic,,Advance Esthetic,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0780,prod_d8b69c2fb403,Advance Esthetic,Zemits,氢氧/小气泡清洁,,EBD,Skin Management,Hydrodermabrasion / Oxygen Infusion,,Hydrodermabrasion / Oxygen Infusion,Advance Esthetic,,Advance Esthetic,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0781,prod_0c8783cfa832,Advance Esthetic,Zemits,身体塑形,,EBD,Radiofrequency,LIPUS,,LIPUS,Advance Esthetic,,Advance Esthetic,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0782,prod_0503a52bd021,Advance Esthetic,Zemits,冷冻溶脂/紧致,,EBD,Cryotherapy,Cryolipolysis,,Cryolipolysis,Advance Esthetic,,Advance Esthetic,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
ultim,REC_0480,prod_4832bea100ce,Aerolase,Neo Elite,1064nm Nd:YAG 激光,"MODEL FAMILY OF AEROLASE ND:YAG LASERS: FRIENDLYLIGHT ND: YAG LASERS, FRIENDLYLIGHT NEO, LIGHTPOD ND: YAG LASERS, LIGHTP",EBD,Laser,Nd:YAG Laser,,Nd:YAG Laser,Aerolase,,Aerolase,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
botox,REC_0094,prod_5c8b3a5a2cc4,Allergan,BOTOX Cosmetic,Botulinum Toxin Type A (肉毒毒素),BOTOX Cosmetic (onabotulinumtoxinA),Injectables,Neurotoxin,Botulinum Toxin A,,Botulinum Toxin A,Allergan,,Allergan,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
kybella|belkyra,REC_0387,prod_739853cc57c1,Allergan,Kybella / Belkyra,Deoxycholic Acid (脱氧胆酸),KYBELLA (deoxycholic acid) injection,Injectables,Lipolytic,Deoxycholic Acid,,Deoxycholic Acid,Allergan,,Allergan,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate, official_evidence_promoted"
hydrafacial,REC_0800,prod_2f21fb385a5e,Allergan,DiamondGlow,Dermal Infusion System,,EBD,Skin Management,Hydrafacial,Hydrafacial,Hydrafacial,Allergan,,Allergan,active,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate"
alma ted,REC_0029,prod_010fb5238182,Alma Lasers,Alma TED,声波生发系统,,EBD,HIFU,LIPUS,,LIPUS,Alma Lasers,,Alma Lasers,active,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page"
api,REC_0847,prod_fe1881c6377d,Alma Lasers,Alma Hybrid,CO2 + Non-Ablative Dual Laser,The Alma Hybrid Laser System,EBD,Laser,CO2 Laser,CO2,CO2 Laser,Alma Lasers,,Alma Lasers,active,official_evidence_promoted,"official_fda_api, official_fda_document, official_product_document, official_product_page, official_spec_candidate"
