seed_record_id,company,brand,standard_product_name,reason,candidate_urls
REC_0004,Rion Aesthetics,plated,PEP (Purified Exosome Product),no_candidate,4
REC_0008,Arthrex,ACA-Kit (Autologous Conditioned Adipose),ACA-Kit (Autologous Conditioned Adipose),page_bad_text:cookie,3
REC_0012,Advance Esthetic,Adonyss,Adonyss,no_candidate,3
REC_0014,Advance Esthetic,Adonyss,Adonyss,no_candidate,2
REC_0015,Oreon Life Science,Aessoa,Aessoa (Shine/Deep),no_candidate,4
REC_0017,Tavger,Affinite,Affinite,product_token_not_near_candidate,1
REC_0019,Cliniccare,AHA / BHA Peels,Chemical Peel,fetch:http_error,4
REC_0021,Union Medical,AirJet,AirJet II,empty_or_short_text,4
REC_0023,Galderma,Alastin,Regenerating Skin Nectar,no_candidate,4
REC_0024,Advanced Aesthetic,Algeness DF (3.5% Agarose),琼脂糖凝胶填充剂,no_fetchable_official_url,
REC_0025,Advanced Aesthetic,Algeness HD (1.5% Agarose),琼脂糖凝胶填充剂,no_fetchable_official_url,
REC_0026,Advanced Aesthetic,Algeness LD (1.0% Agarose),琼脂糖凝胶填充剂,no_fetchable_official_url,
REC_0028,IBSA Derma,Aliaxin,Aliaxin (FL/GP/EV),page_bad_text:privacy policy,4
REC_0038,Aptos,Aptos Namica,玻尿酸功能线,empty_or_short_text,3
REC_0042,Baz Biomedic,AquaClean / AquaClean Mini,皮肤清洁管理系统 (Aqua Peeling),no_fetchable_official_url,
REC_0043,Aquavit Pharmaceuticals,Aquagold Ampoules,医用级安瓶,page_bad_text:adverse reactions,1
REC_0050,ExoCoBio,ASCE+,Regenerative Aesthetics,no_candidate,2
REC_0052,El.En.,Asclepion,MeDioStar Monolith,page_bad_text:privacy policy,3
REC_0055,Aspen Pharmacare,Aspen,Xylocaine / EMLA,no_candidate,4
REC_0056,Reveal Lasers,Attiva,Attiva S.I.H.,fetch:SSLError,4
REC_0057,Ostin Bio,Audrey,Audrey (H/S/M) / Body,no_candidate,1
REC_0058,Alvi Prague,Autonomy / F-Series,综合美容工作站,page_bad_text:cookie,1
REC_0061,Dr. Babor,BABOR Ampoules,Ampoule Concentrates,no_candidate,4
REC_0062,Dr. Babor,BABOR Tech / SkinFusion,Skin Management Device,no_fetchable_official_url,
REC_0063,Institute BCN,BCN,BCN Classics,page_bad_text:cookie,4
REC_0067,HansBiomed.,BellaGel,BellaGel Micro,no_candidate,1
REC_0068,Dongkook Pharma,Bellast (贝拉斯特),HA Dermal Filler,no_fetchable_official_url,
