"action_group","cert_in_global","suggested_next_action","certificate_no","track_name","category","brand","product_name","registrant","origin","approval_date","valid_until","official_status","official_verification_status","official_product_name","official_registrant","official_scope","main_landscape_included","source_url","entity_match_hint","company_profile_text_hint"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20163130861","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","华熙生物科技股份有限公司","国产","2021-05-31","2026-05-30","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶","华熙生物科技股份有限公司","该产品用于面部真皮组织中层至深层注射以纠正中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20163131804","透明质酸钠","透明质酸钠","注射用透明质酸钠复合溶液","注射用透明质酸钠复合溶液","爱美客技术发展股份有限公司","国产","2021-03-19","2026-03-18","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用透明质酸钠复合溶液","爱美客技术发展股份有限公司","该产品用于皮内真皮层注射填充，以纠正颈部中重度皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20163131809","透明质酸钠","透明质酸钠","医用透明质酸钠-羟丙基甲基纤维素凝胶","医用透明质酸钠-羟丙基甲基纤维素凝胶","爱美客技术发展股份有限公司","国产","2021-02-26","2026-02-25","verified","已官方核验/国家政务服务平台NMPA器械查询","医用透明质酸钠-羟丙基甲基纤维素凝胶","爱美客技术发展股份有限公司","该产品用于皮肤皮下浅层至深层之间的填充,以纠正中重度额部皱纹和中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20163132497","透明质酸钠","透明质酸钠","医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶","医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶","爱美客技术发展股份有限公司","国产","2021-03-17","2026-03-16","verified","已官方核验/国家政务服务平台NMPA器械查询","医用含聚乙烯醇凝胶微球的透明质酸钠-羟丙基甲基纤维素凝胶","爱美客技术发展股份有限公司","该产品用于皮肤真皮深层及皮下浅层之间注射填充，以纠正中重度额部皱纹和中重度鼻唇部皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20173133254","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","山东凯乐普生物工程有限公司","国产","2021-07-15","2026-07-14","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶","山东凯乐普生物工程有限公司","该产品适用于面部真皮组织中层至深层注射以纠正中重度鼻唇沟皱褶。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注准20213130191","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶","注射用交联透明质酸钠凝胶","杭州科腾生物制品有限公司","国产","2021-03-18","2026-03-17","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶","杭州科腾生物制品有限公司","适用于面部皮肤真皮组织中层至深层注射，以纠正中重度鼻唇沟。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"missing_verified_no_entity_hint","no","有官方核验证号，但全球库未明显命中实体；多半是中国本土/细分证号，需判断是否进入全球产品线","国械注许20163130035","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 Formaderm Dermal Filler Injection","注射用交联透明质酸钠凝胶 Formaderm Dermal Filler Injection","和康生物科技股份有限公司","港澳台","2021-07-02","2026-07-01","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Formaderm Dermal Filler Injection","和康生物科技股份有限公司","适用于面部真皮组织中层注射以纠正中重度鼻唇沟皱纹。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"not_found_hold","no","暂不入库：registration 项目也标记官方未查到/需复核","国械注进20163130114","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶","注射用修饰透明质酸钠凝胶","LG Chem, Ltd.","进口","2021-02-18","2026-02-17","not_found","官方未查到/需复核","","","","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","Arkana Cosmetics / Neuro GABA & NANA Peels / 神经美容酸/焕肤剂 / 神经美容酸/焕肤剂 || Asterasys / Aqua Peel Tera / 皮肤清洁设备 (Aqua Peel) / 皮肤清洁设备 (Aqua Peel) || Baz Biomedic / AquaClean / AquaClean Mini / 皮肤清洁管理系统 (Aqua Peeling) / 皮肤清洁管理系统 (Aqua Peeling)","yes"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20173135168","透明质酸钠","透明质酸钠","注射用修饰透明质酸钠凝胶 Princess Volume","注射用修饰透明质酸钠凝胶 Princess Volume","克罗玛医药有限公司 CROMA-PHARMA","进口","2021-06-24","2026-06-23","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用修饰透明质酸钠凝胶Princess Volume","克罗玛医药有限公司CROMA-PHARMA GmbH","该产品适用于面部真皮组织中层至深层注射，以纠正鼻唇沟。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
"already_in_global","yes","已在全球库 registration_evidence 中，无需重复导入","国械注进20213130059","透明质酸钠","透明质酸钠","注射用交联透明质酸钠凝胶 Cross-linked Sodium Hyaluronate Gel for Injection","注射用交联透明质酸钠凝胶 Cross-linked Sodium Hyaluronate Gel for Injection","科医有限公司 Q-Med AB","进口","2021-03-03","2026-03-02","verified","已官方核验/国家政务服务平台NMPA器械查询","注射用交联透明质酸钠凝胶Cross-linked Sodium Hyaluronate Gel for Injection","科医有限公司Q-Med AB","本产品适用于面部真皮组织中层至深层填充以纠正中度至重度鼻唇沟皱纹。适用于注射到骨膜上，填充下颌区域，以改善轻度至中度下颌后缩患者的下颌轮廓。","是","https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw","","no"
