signal_id,country,period,axis,metric,segment,value,unit,yoy_pct,mom_pct,share_pct,source_name,source_url,source_tier,verification_status,note
korea_2026_05_foreign_medical_tourism_spending,South Korea,2026-05,inbound_consumption,foreign_medical_tourism_spending,total,251.2,KRW_bn,44.0,,,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Article cites DB Financial Investment; verify against Korea MOHW/KHIDI/KHISS or payment/tourism statistics before treating as official fact."
korea_2026_05_foreign_medical_tourism_cases,South Korea,2026-05,inbound_consumption,medical_tourism_cases,total,597000,cases,63.0,,,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Case count is useful for inbound demand context; keep separate from procedure count."
korea_2026_05_dermatology_spending,South Korea,2026-05,inbound_consumption,foreign_medical_tourism_spending,dermatology,145.2,KRW_bn,46.4,,57.8,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Dermatology share of foreign medical tourism spending."
korea_2026_05_pharmacy_spending,South Korea,2026-05,inbound_consumption,foreign_medical_tourism_spending,pharmacy,32.5,KRW_bn,172.1,,12.9,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Pharmacy spending is interpreted as post-procedure/cosmeceutical consumption signal, not treatment volume."
korea_2026_05_other_medical_tourism_spending,South Korea,2026-05,inbound_consumption,foreign_medical_tourism_spending,other_medical_tourism,73.5,KRW_bn,,,,29.3,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,derived_from_news,needs_official_verification,"Residual computed from 251.2 KRW bn total minus dermatology and pharmacy spending."
korea_2026_05_medical_aesthetic_exports,South Korea,2026-05,export_trade,medical_aesthetic_product_exports,total,480.0,USD_mn,31.1,,,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Combined exports of medical and aesthetic products; verify category definition before comparing with customs HS-code data."
korea_2026_05_toxin_exports,South Korea,2026-05,export_trade,exports,toxin,50.2,USD_mn,14.1,,,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Category export signal; do not merge with company revenue."
korea_2026_05_filler_exports,South Korea,2026-05,export_trade,exports,filler,336.4,USD_mn,40.2,,,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Category export signal; do not merge with company revenue."
korea_2026_05_ebd_exports,South Korea,2026-05,export_trade,exports,ebd,95.4,USD_mn,14.0,,,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"EBD export signal; verify against customs categories and device definitions."
korea_2026_05_ebd_us_exports,South Korea,2026-05,export_trade,exports_destination,ebd_to_usa,20.6,USD_mn,13.9,43.5,,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Destination export signal for EBD; month-on-month and year-on-year both reported."
korea_2026_05_ebd_brazil_exports,South Korea,2026-05,export_trade,exports_destination,ebd_to_brazil,6.3,USD_mn,140.8,66.1,,Asia Business Daily,https://www.asiae.co.kr/en/article/stock-etc/2026061819415596313,news_secondary,needs_official_verification,"Destination export signal for EBD; useful for Korea-to-Latin-America channel hypothesis."
