batch_no,your_decision_fill_this,merge_into_product_id_fill_this,final_company_brand_product_fill_this,notes_fill_this,source_company,candidate_product_or_family,source_count,source_types,source_domains,confidence_mix,sample_url,review_status,existing_products_in_master,source_examples,what_i_need_from_you
MISS-001,新增为产品线,,Bimini Health Tech / Dermapose / Dermapose Fat Transfer Product Suite,用户确认：Dermapose 为微小体积自体脂肪移植一体化封闭系统，契合医美上游器械与耗材，具备独立产品线层级。,Bimini Health Tech,Dermapose Fat Transfer Product Suite,1,briefing_product_gap_candidates; official_company_press_release,prnewswire.com,official_company_release; EU MDR; product absent from master,https://www.prnewswire.com/news-releases/bimini-health-tech-achieves-eu-mdr-certification-302770477.html,ready_for_master_mapping,(当前主库没有该公司的产品线),(未在当前库中找到可展示的具体来源行，仅保留候选汇总来源),主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-002,新增为产品线,,Bimini Health Tech / Puregraft / Puregraft Fat Transfer Product Suite,用户确认：Puregraft 为成熟脂肪过滤和纯化系统，与 Dermapose 同属 Bimini 姊妹产品，应作为独立产品线收录。,Bimini Health Tech,Puregraft Fat Transfer Product Suite,1,briefing_product_gap_candidates; official_company_press_release,prnewswire.com,official_company_release; EU MDR; product absent from master,https://www.prnewswire.com/news-releases/bimini-health-tech-achieves-eu-mdr-certification-302770477.html,ready_for_master_mapping,(当前主库没有该公司的产品线),(未在当前库中找到可展示的具体来源行，仅保留候选汇总来源),主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-003,并入现有产品,prod_34f1bcd4274c,Huons Meditech / DermaShine / Premium 9-Pin Needle,用户确认：Premium 9-Pin Needle 是 DermaShine 水光仪配套 9 针针头，应并入 DermaShine 耗材/针具线，不单独建线。,Huons Meditech,Premium 9-Pin Needle,1,briefing_product_gap_candidates; official_company_press_release,huonsmeditech.com,official_company_release; CE-MDR certificate id pending,https://huonsmeditech.com/layout/eng/home.php?mid=30&go=pds.list&pds_type=7&start=0&num=1288&s_key1=&s_key2=&s_que=,needs_product_master_review,prod_fad4dbfdec67 | DermaShine / DermaShine Duo RF (EBD > Radiofrequency); prod_34f1bcd4274c | DermaShine / DermaShine Pro / Balance (Consumables > Needles & Cannulas); prod_cf51c1755a7c | Jill's of / Jill's of (Jill'SOF) (Consumables > Needles & Cannulas),(未在当前库中找到可展示的具体来源行，仅保留候选汇总来源),请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-004,排除-非医美/非上游,,Gold Collagen / Gold Collagen,用户确认：口服美容补剂不作为医美上游产品线收录。,Gold Collagen,Gold Collagen,139,official_website_master; product_specification_evidence,beautyethic.com; faq.gold-collagen.com; gold-collagen.com; gold-collagen.in,official_site_spec_candidate:90; official_domain_candidate:24; official_search_excerpt_spec_candidate:24; company_official_search_candidate:1,https://beautyethic.com/ar/pages/gold-collagen,candidate,(当前主库没有该公司的产品线),"[official_website_master] Forte Plus from Gold Collagen - Clinically Verified | https://www.gold-collagen.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Gold Collagen | https://gold-collagen.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Forte from Gold Collagen - Clinically Verified | https://www.gold-collagen.in/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Do the products contain fish oils, porcine, chicken, beef, antibiotics, hormones (phyto h… | https://faq.gold-collagen.com/en/knowledge/do-the-products-contain-fish-oils-porcine-chicken-beef-a… | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Forte Ageless from Gold Collagen - Clinically Verified | https://www.gold-collagen.com/en-ie/products/forte-ageless | official_site_spec_candidate | 5,000 MG price per day From €3,71 per bottle, per day formula Liquid Single Use 50ml bottle how to use Drink 1 bottle daily per day differentiating i… || [product_specification_evidence] Forte Ageless from Gold Collagen - Clinically Verified | https://www.gold-collagen.com/en-ie/products/forte-ageless | official_site_spec_candidate | day From €3,71 per bottle, per day formula Liquid Single Use 50ml bottle how to use Drink 1 bottle daily per day differentiating ingredients 60mg L-C…",主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-005,排除-非医美/非上游,,Novartis / Cosentyx,用户确认：银屑病生物制剂，属于传统严肃皮肤科处方药，不纳入医美上游产品线。,Novartis,Cosentyx,116,official_website_master; product_specification_evidence,accessdata.fda.gov; cosentyx.com; dhpp.hpfb-dgpsa.ca; ec.europa.eu; ema.europa.eu; novartis.com; novartis.us; pro.novartis.com; prod.pro.novartis.com,official_site_spec_candidate:57; official_search_excerpt_spec_candidate:40; official_domain_candidate:11; product_official_search_candidate:4,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761349Orig1s007lbl.pdf,candidate,(当前主库没有该公司的产品线),[official_website_master] COSENTYX® (secukinumab) in dermatology | Novartis Pro Portal | https://www.pro.novartis.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] COSENTYX® (secukinumab) in dermatology | Novartis Pro Portal | https://prod.pro.novartis.com/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Product Portfolio | Novartis United States of America | https://www.novartis.com/us-en/about/products | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] N/A | https://www.novartis.com/us-en/sites/novartis_us/files/cosentyx_ifu.pdf | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] N/A | https://www.ema.europa.eu/ | official_site_spec_candidate | 1 ANNEX I SUMMARY OF PRODUCT CHARACTERISTICS 2 1. NAME OF THE MEDICINAL PRODUCT Cosentyx 75 mg solution for injection in pre-filled syringe 2. QUALIT… || [product_specification_evidence] Regulatory Decision Summary for Cosentyx - Drug and Health Products Portal | https://dhpp.hpfb-dgpsa.ca/ | official_site_spec_candidate | armaceuticals Canada Inc. This Supplement to a New Drug Submission was filed to gain market authorization for the new subcutaneous dosage forms for C…,主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-006,新增为产品线,,Melsmon Pharmaceutical / Melsmon / Melsmon,用户确认：Melsmon 为日本代表性人胎盘提取物，在亚洲医美市场用于中胚层疗法/水光注射等抗衰项目，具备院内操作属性和商业价值，应新增。,Melsmon Pharmaceutical,Melsmon,97,official_website_master; product_specification_evidence,abchealthonline.com; aesthacares.com; bellepharm.com; bio-japan.net; eleglobals.com; ellepharm.com; fillersfairy.com; haruskin.com; image.packageinsert.jp; isla-med.com; korean-surgery.com; koreanaesthetic.com; luxbio.net; medifella.com; medixlife.com; melsmon.co.kr; melsmon.ru; mjsmedicals.com; skincareplaza.com; slmedibeauty.com,official_search_excerpt_spec_candidate:61; official_site_spec_candidate:13; company_official_search_candidate:11; product_official_search_candidate:8,https://abchealthonline.com/6592280-melsmon-instructions-for-use-of-the-drug-reviews-price-analogues,candidate,(当前主库没有该公司的产品线),"[official_website_master] KOREA MELSMON - Medicine | https://www.melsmon.co.kr/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Документы | https://melsmon.ru/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] KOREA MELSMON - Medicine | https://www.melsmon.co.kr/front/product/medicine?langCd=en | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Документы | https://melsmon.ru/about/documents/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Melsmon - Japanese Skin Rejuvenation Ampoule | https://bellepharm.com/ | official_site_spec_candidate | oduced below those interested. Buy Now HAIRNA Exosome Hair Fill $60.00 Buy Now Botulax 100 units Botulinum Toxin Type A $54.00 Buy Now NEOGENESIS PDO… || [product_specification_evidence] KOREA MELSMON - Medicine | https://www.melsmon.co.kr/ | official_site_spec_candidate | serious side effect report during its use in the past 50 years in Japan . What is the Placenta The placenta is an organ which weighs 500g, has a diam…",主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-007,新增为产品线,,Ubio Biotechnology / Olidia / Olidia,用户确认：Olidia 为 PLLA 胶原蛋白生物刺激剂，属于医美注射类核心耗材，应新增。,Ubio Biotechnology,Olidia,83,official_website_master; product_specification_evidence,bionicsgroup.com; bioresus.com; e-biostimulators.com; ec21.com; fusionfills.com; ibeautymachine.com; luxbio.net; medifella.com; mjsmedicals.com; pllakorea.com; prplifescience.co.kr; teleta.co.uk,official_search_excerpt_spec_candidate:58; official_site_spec_candidate:13; product_official_search_candidate:9; secondary_source_crosscheck:3,https://www.bionicsgroup.com/olidia-collagen-stimulator/,candidate,(当前主库没有该公司的产品线),"[official_website_master] Buy Olidia PLLA at Wholesale Price | Bioresus | https://bioresus.com/ | product_official_search_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Olidia | Discover More | e-BIOSTIMULATORS | https://e-biostimulators.com/ | product_official_search_candidate | Operating-company or product-portfolio official surface. || [official_website_master] Olidia PLLA Dermal Filler (Injectable Poly L-Lactic Acid Powder)(id:11059830). Buy Korea … | https://www.ec21.com/ | product_official_search_candidate | Operating-company or product-portfolio official surface. || [official_website_master] OLIDIA - Default Title - Fusion Fills | https://fusionfills.com/ | product_official_search_candidate | Operating-company or product-portfolio official surface. || [product_specification_evidence] Olidia PLLA Dermal Filler (Injectable Poly L-Lactic Acid Powder)(id:11059830). Buy Korea … | https://www.ec21.com/ | official_site_spec_candidate | mic grill','cm','water bottle','auto mug.','baby care','bakeware','household cleaning']; var topKey_24 = ['bright','christmas light string.','rohs','… || [product_specification_evidence] Olidia PLLA Dermal Filler (Injectable Poly L-Lactic Acid Powder)(id:11059830). Buy Korea … | https://www.ec21.com/ | official_site_spec_candidate | {compnm: ""Beijing Winkonlaser Technology Limited"", prodnm: ""Laser Hair Removal Machine"", url: ""https://www.ec21.com/product-details/Winkonlaser-DL500…",主库没有该公司产品线：是否新增公司/产品，还是排除为非范围对象？
MISS-008,排除-非医美/非上游,,Biocyte / Collagen Express,用户确认：口服美容补剂不作为医美上游产品线收录。,Biocyte,Collagen Express,77,official_website_master; product_specification_evidence,biocyte.com; biocyte.com.vn; cosmetis.com; duoctaman.com; farmaciadaliga.pt; france-health.com; mypharma.vn; pharmashopdiscount.com; soin-et-nature.com,official_site_spec_candidate:36; official_search_excerpt_spec_candidate:27; official_domain_candidate:7; secondary_source_crosscheck:5,https://www.biocyte.com/products/beauty-box,candidate,prod_facbf7fd2c9f | Hyaluronic Forte / 口服透明质酸 (Oral HA) (Injectables > Dermal Filler),"[official_website_master] B03, B03C – Thực phẩm bảo vệ sức khỏe Collagen Express – Collagen Express (Marin) – Biocy… | https://biocyte.com.vn/ | official_domain_candidate | Operating-company or product-portfolio official surface. || [official_website_master] BEAUTY BOX | https://www.biocyte.com/products/beauty-box | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Skin Supplements for Skin Beauty & Glow | Biocyte | https://www.biocyte.com/en/collections/skin | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Biocyte | Compléments alimentaires beauté, bien-être & santé | https://www.biocyte.com/en/skin/12-collagen-express-3401599014206.html | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] BEAUTY BOX | https://www.biocyte.com/products/beauty-box | official_site_spec_candidate | duct"",""@type"":""Product"",""brand"":{""@type"":""Brand"",""name"":""Biocyte Peau""},""category"":""Compléments alimentaires"",""description"":""Biocyte Beauty Box est l… || [product_specification_evidence] BEAUTY BOX | https://www.biocyte.com/products/beauty-box | official_search_excerpt_spec_candidate | TY BOX [...] Biocyte Beauty Box est la première box anti-âge développée avec nos trois produits phare : Collagen Express, Activ’ anti-rides et Hyalur…",请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-009,排除-非医美/非上游,,Alta Care / Altaflora,用户确认：Altaflora 为益生菌/肠道健康食品补充剂，属于口服保健品，按口服类规则排除。,Alta Care,Altaflora,66,official_website_master; product_specification_evidence,altacarelaboratoires.com; igpharmacy.com; megateksa.com; shop.altacare.com; yumpu.com,official_search_excerpt_spec_candidate:46; official_site_spec_candidate:9; official_domain_candidate:8; brand_official_search_candidate:1,https://www.altacarelaboratoires.com/collections,candidate,prod_1c6fc6f4ac97 | Dermastir 16 EBF / 32 EBF / 皮肤动能素/水光针 (Injectables > Skin Booster); prod_ba1adfad2a97 | Dermastir H53EGF / 头皮注射液 (Injectables > Skin Booster); prod_cb55e88bc4b4 | Dermastir Luxury / 真空保鲜护肤品 (Skincare > Cosmeceutical),[official_website_master] Collections – Alta Care Laboratoires | https://www.altacarelaboratoires.com/collections | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Alta Care Laboratoires - food supplements made in France and Italy | https://www.altacarelaboratoires.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] INGREDIENTS – Alta Care Laboratoires | https://www.altacarelaboratoires.com/pages/ingredients-inci-altaflora-electrolytes-capsules | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Altaflora Electrolytes Diar-Capsules probiotics gut health supplements – Alta Care Labora… | https://www.altacarelaboratoires.com/products/altaflora-electrolytes-capsules | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Alta Care Laboratoires - food supplements made in France and Italy | https://www.altacarelaboratoires.com/ | official_site_spec_candidate | PTION CYCLE FOR A FASTEST ACTION Liquid Sachets Liquid Sachets Liquid Sachets Altacura Influgel Liquid Sachets Altaflora Gastrogel Liquid Sachets Hon… || [product_specification_evidence] INGREDIENTS – Alta Care Laboratoires | https://www.altacarelaboratoires.com/pages/ingredients-inci-altaflora-electrolytes-capsules | official_site_spec_candidate | PTION CYCLE FOR A FASTEST ACTION Liquid Sachets Liquid Sachets Liquid Sachets Altacura Influgel Liquid Sachets Altaflora Gastrogel Liquid Sachets Hon…,请判断这是新增产品/家族、并入现有产品，还是排除。
MISS-010,排除-非医美/非上游,,Biocyte / Keratine Forte,用户确认：口服防脱/口服补剂不作为医美上游产品线收录。,Biocyte,Keratine Forte,63,official_website_master; product_specification_evidence,bioax.fr; biocyte.com; boxofcolor.com; skinlovers.com,official_site_spec_candidate:41; official_domain_candidate:11; official_search_excerpt_spec_candidate:8; secondary_source_crosscheck:2,https://bioax.fr/en/wellness/22671keratine-forte-full-spectrum-120-gelules-biocyte-3770008244078.html,candidate,prod_facbf7fd2c9f | Hyaluronic Forte / 口服透明质酸 (Oral HA) (Injectables > Dermal Filler),"[official_website_master] Repair & Nourishment for Skin Regeneration | Biocyte | https://www.biocyte.com/en/collections/nutrition-repair | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Laboratoire BIOCYTE | https://biocyte.com/ | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Tous les Cosmétiques Bien-Être et Beauté | Biocyte | https://www.biocyte.com/en/collections/cosmetique | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [official_website_master] Keratin Supplements for Hair Strength & Elasticity | Biocyte | https://www.biocyte.com/en/collections/dietary-supplement-keratin | official_domain_candidate | Official page matched to a product family. Use for commercial product facts/specs; registration facts still require regulator evidence. || [product_specification_evidence] Keratine Forte Full Spectrum 120 Gelules Biocyte | https://bioax.fr/ | official_site_spec_candidate | 15""] a.quick-view').on( ""click"", function() { gtag(""event"", ""select_item"", {""send_to"":""G-3W5PGZMMG2"",""items"":{""item_id"":44215,""item_name"":""Impact Whe… || [product_specification_evidence] Keratine Forte Full Spectrum 120 Gelules Biocyte | https://bioax.fr/ | official_site_spec_candidate | .quick-view').on( ""click"", function() { gtag(""event"", ""select_item"", {""send_to"":""G-3W5PGZMMG2"",""items"":{""item_id"":21767,""item_name"":""Uriage 1ere Eau …",请判断这是新增产品/家族、并入现有产品，还是排除。
