seed_record_id,product_id,company,brand,standard_product_name,source_url,indication
REC_0105,prod_b4730a9646d8,Suisselle,Cellbooster Hair / Shape,Hair / Fat,https://suisselle.com/product/cellbooster-hair/,"Indicated as a resorbable injectable implant for prevention and treatment of scalp and hair problems such as hair loss, hair breakage, scalp dehydration, dandruff, and premature graying."
REC_0115,prod_3e6b54e632ce,Biotec,CFU Èlife,HIFU (Focused Ultrasound),https://biotecitaliauk.co.uk/cfu-elife/,"Indicated for treatment of skin ageing, reduction of wrinkle depth in the face and neck area, and reshaping of the body profile using high-intensity focused ultrasound."
REC_0134,prod_aadef274ea7b,Deleo,CRISTAL Fit,HI-EMS,https://www.deleo-medical.com/en/cristal-fit/,Indicated for treatment of urinary incontinence and strengthening of pelvic floor muscles.
REC_0185,prod_f313aab02c2e,Dermoaroma,Dermo Peel,Chemical Peel,https://dermoaroma.com/peeling-system-radiance/,Indicated for melasma and post-inflammatory hyperpigmentation.
REC_0221,prod_b1a1ecb4539f,Professional Skin Solutions,Elementrē,Elementrē Dermo Cosmetics,https://www.elementre-solutions.com/products/30-vitamin-c-brightening-serum,"Intended to brighten and energize the skin, protect against free radicals, and improve discoloration, fine lines, and wrinkles."
REC_0274,prod_9be5606009dd,Biovico,Flavya,Native HA Booster,https://medicalesthetics.biovico.com/product/flavya-excellence/,"Indicated for intradermal injection to improve skin hydration, elasticity, and density, protect cells against free radicals, revitalize cells, and support wound healing by initiating collagen and elastin synthesis."
REC_0349,prod_f16b720710a4,Medytox,Innotox,Innotox 50U/100U,https://medytox.com/page/innotox_en?site_id=en,Indicated to temporarily improve moderate to severe glabellar wrinkles related to corrugator and/or procerus muscle activity in adults aged 20 to 65.
REC_0355,prod_6f741f7cd970,Professional Derma,Jalupro,Super Hydro,https://jalupro.fr/en/products/superhydro,"Indicated for photo-aging and anti-aging of the face and body, and for dry or dehydrated skin."
REC_0384,prod_57b845afff11,FB Dermatology,Kleresca,Kleresca Light,https://fb-dermatology.com/en/healthcare-professional/kleresca/acne/faq/,Indicated for treatment of acne.
REC_0418,prod_98e1ab884d55,Lutronic / Cynosure Lutronic,Lutronic,LaseMD Ultra,https://www.cynosure.com/product/ultra/,"Indicated for dermatological procedures requiring soft-tissue coagulation, treatment of actinic keratosis, and treatment of benign pigmented lesions including lentigos, solar lentigos, and ephelides."
