seed_record_id,company,brand,standard_product_name,reason
REC_0126,A.A.M.S.,Concerto,Mesogun,no_strong_official_exa_result
REC_0090,BMED,Bontempi,B.A.F.F.I. Kit,no_strong_official_exa_result
REC_0174,CGBIO / Cell Growth Bio,DERMAREVIVE,Exosome/Microneedle,no_strong_official_exa_result
REC_0759,Chaeum Pharma,VOM / VOM O/M/V,HA Filler,no_strong_official_exa_result
REC_0329,DFK Biolab,Hyalmass,Body Filler,no_strong_official_exa_result
REC_0155,Decomedical,Decopress,Pressotherapy,no_strong_official_exa_result
REC_0568,EmCyte,Progenisa,Biologics,no_strong_official_exa_result
REC_0496,Euroresearch,Nithya Peel,Chemical Peel,no_strong_official_exa_result
REC_0264,ExoCoBio,EXOMAGE,Cosmeceuticals,no_strong_official_exa_result
REC_0067,HansBiomed.,BellaGel,BellaGel Micro,no_strong_official_exa_result
REC_0975,HansBiomed.,MegaDerm,MegaDerm,no_strong_official_exa_result
REC_0976,HansBiomed.,MegaFill,MegaFill,no_strong_official_exa_result
REC_0088,Hugel,BlueRose,BlueRose Threads,no_strong_official_exa_result
REC_0690,Iskra Medical,Tesla Former,Tesla Former / Care,no_strong_official_exa_result
REC_0572,Lameditech,Puraxel,Puraxel-Me,no_strong_official_exa_result
REC_0472,My Med Aesthetics,My Filler,My Filler (Glips/Man),no_strong_official_exa_result
REC_0579,S. Thepharm,QTFill,QTFill Plus,no_strong_official_exa_result
REC_0798,Suisselle,Mesotherapy,Mesotherapy,no_strong_official_exa_result
REC_0017,Tavger,Affinite,Affinite,no_strong_official_exa_result
REC_0386,Tema Medicina,K-Surgery,Idea / TC Plus,no_strong_official_exa_result
REC_0077,Abio Materials,BioExo-Water,植物外泌体原料,no_strong_official_exa_result
REC_0107,Abio Materials,CellExosome®,外泌体皮肤动能素/水光,no_strong_official_exa_result
REC_0024,Advanced Aesthetic,Algeness DF (3.5% Agarose),琼脂糖凝胶填充剂,no_strong_official_exa_result
REC_0025,Advanced Aesthetic,Algeness HD (1.5% Agarose),琼脂糖凝胶填充剂,no_strong_official_exa_result
REC_0026,Advanced Aesthetic,Algeness LD (1.0% Agarose),琼脂糖凝胶填充剂,no_strong_official_exa_result
REC_0087,Aurora Medical,BlackBox,皮肤镜/诊断系统,no_strong_official_exa_result
REC_0091,BMED,Bontempi,Supercut Scissors,no_strong_official_exa_result
REC_0092,BMED,Bontempi,Rhinoplasty Instruments,no_strong_official_exa_result
REC_0315,Beamed,Hellas EVO / Hellas RT,Q-Switched Nd:YAG,no_strong_official_exa_result
REC_0401,BenQ,Lily / Miracle,HA Dermal Filler,no_strong_official_exa_result
REC_0450,Biopark Medical,Messenger,Booster,no_strong_official_exa_result
REC_0317,Blue Moon,Himalaya,Multi-Platform,no_strong_official_exa_result
REC_0569,Caregen,Prostrolane Series,Peptide Dermal Filler,no_strong_official_exa_result
REC_0747,Daeyang Medical,VinuShape,Body Contouring,no_strong_official_exa_result
REC_0452,Dermakor,Micro Cannulas,Cannulas,no_strong_official_exa_result
REC_0220,Dongbang Medical,Elasty Threads,PDO Threads,no_strong_official_exa_result
REC_0332,Dongkook Pharma,Hyaron (海珠),HA Skin Booster,no_strong_official_exa_result
REC_0085,Dr. Korman,Biorevitalizers,Biorevitalization,no_strong_official_exa_result
REC_0131,E.I.C.O.,Cosmeceuticals,Manufacturing,no_strong_official_exa_result
REC_0109,ExoCoBio,Celltweet,Cosmeceuticals,no_strong_official_exa_result
REC_0403,HJorations,LIPO VELA,LIPO VELA V,no_strong_official_exa_result
REC_0708,HJorations,TOXPIA,TOXPIA 100u,no_strong_official_exa_result
REC_0654,ItalFarmacia,Skin-B / Skin-R,Amino Acid Precursors,no_strong_official_exa_result
REC_0728,Korust,UTIMS,UTIMS A3 / A3-P,no_strong_official_exa_result
REC_0727,Korust,Utims,Utims A3,no_strong_official_exa_result
REC_0788,MI Medical,Consumables,Consumables,no_strong_official_exa_result
REC_0643,Meddrop BMT,Seyo,Seyo TDA,no_strong_official_exa_result
REC_0683,MedixSysteme,SygmaLift,SygmaLift,no_strong_official_exa_result
REC_0435,Melsmon Pharmaceutical,Melsmon,Melsmon Injection,no_strong_official_exa_result
REC_0793,NOBAMEDI,便携式电子注射枪,便携式电子注射枪,no_strong_official_exa_result
REC_0792,NOBAMEDI,智能负压水光仪,智能负压水光仪,no_strong_official_exa_result
REC_0794,NOBAMEDI,笔式微针注射器,笔式微针注射器,no_strong_official_exa_result
REC_0795,NOBAMEDI,针头,针头,no_strong_official_exa_result
REC_0262,Primoris International,ExoHealer,ExoHealer / Filcore,no_strong_official_exa_result
REC_0404,Receptura Apotheke,Lipodissolve,PPC / DC (Phosphatidylcholine),no_strong_official_exa_result
REC_0137,Samyang Holdings,Croquis,Croquis Threads,no_strong_official_exa_result
REC_0750,Sinclair Pharma,Viora,Pristine,no_strong_official_exa_result
UPR_KARISMA_001,Taumedika SRL,Karisma FACE Rh Collagen,Karisma FACE Rh Collagen,no_strong_official_exa_result
REC_0021,Union Medical,AirJet,AirJet II,no_strong_official_exa_result
REC_0755,VLCC Personal Care,VLCC,Professional Range,no_strong_official_exa_result
