seed_record_id,company,brand,standard_product_name,reason
REC_0126,A.A.M.S.,Concerto,Mesogun,no_strong_official_search_result
REC_0014,Advance Esthetic,Adonyss,Adonyss,no_strong_official_search_result
REC_0029,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,no_strong_official_search_result
REC_0851,Alma Lasers,DermaClear,Hydradermabrasion System,no_strong_official_search_result
REC_0058,Alvi Prague,Autonomy / F-Series,综合美容工作站,no_strong_official_search_result
REC_0195,Alvi Prague,DL-7000 Ultra Pulse,半导体脱毛激光,no_strong_official_search_result
REC_0434,Alvi Prague,MED-X,二氧化碳点阵激光,no_strong_official_search_result
REC_0736,Alvi Prague,Vascu-X (980nm),血管治疗激光,no_strong_official_search_result
REC_0038,Aptos,Aptos Namica,玻尿酸功能线,no_strong_official_search_result
REC_0043,Aquavit Pharmaceuticals,Aquagold Ampoules,医用级安瓶,no_strong_official_search_result
REC_0008,Arthrex,ACA-Kit (Autologous Conditioned Adipose),ACA-Kit (Autologous Conditioned Adipose),no_strong_official_search_result
REC_0902,Asclepion,MeDioStar,810+940nm Diode Hair Removal,no_strong_official_search_result
REC_0090,BMED,Bontempi,B.A.F.F.I. Kit,no_strong_official_search_result
REC_0974,BNC Korea,BONIVA FILLER,BONIVA Filler,no_strong_official_search_result
REC_0164,BR Pharm,Derm S,Post-Procedure Care,no_strong_official_search_result
REC_0340,BRERA Medical,Imperium Med 400,RF & Ultrasound,no_strong_official_search_result
REC_0549,BRERA Medical,Plasmage,Fractional Plasma,no_strong_official_search_result
REC_0867,BTL,EXION Clear RF,RF for Skin Clarity,no_strong_official_search_result
REC_0871,BTL,Exilis Ultra,RF + Ultrasound Combination,no_strong_official_search_result
REC_0301,BeautyBio,GloPRO,Microneedling Tool,no_strong_official_search_result
