seed_record_id,product_id,company,brand,standard_product_name,score,source_url,title,official_candidate,confidence,query_type,indication
REC_0447,prod_8e4c4a2135cd,ABG Lab LLC,Meso-Sculpt C71™,Specific Areas,87,https://trelis.eu/en/brands/subdistribution/meso-wharton,Meso-Wharton P199 Deep Skin Rejuvenation Bioreparant | Trelis,possible,product_official_search_candidate,product_certificate_registration,Is intended for intradermal injection by a certified specialist.; The injection technique and depth are determined individually based on the patient’s skin condition and aesthetic goals.
REC_0448,prod_0f21b463f349,ABG Lab LLC,Meso-Wharton P199™,Anti-Aging & Regeneration,87,https://trelis.eu/en/brands/subdistribution/meso-wharton,Meso-Wharton P199 Deep Skin Rejuvenation Bioreparant | Trelis,possible,product_official_search_candidate,product_certificate_registration,Is intended for intradermal injection by a certified specialist.; The injection technique and depth are determined individually based on the patient’s skin condition and aesthetic goals.
REC_0447,prod_8e4c4a2135cd,ABG Lab LLC,Meso-Sculpt C71™,Specific Areas,87,https://trelis.eu/en/brands/subdistribution/meso-wharton,Meso-Wharton P199 Deep Skin Rejuvenation Bioreparant | Trelis,possible,product_official_search_candidate,product_ifu_labeling,Is intended for intradermal injection by a certified specialist.; The injection technique and depth are determined individually based on the patient’s skin condition and aesthetic goals.
REC_0448,prod_0f21b463f349,ABG Lab LLC,Meso-Wharton P199™,Anti-Aging & Regeneration,87,https://trelis.eu/en/brands/subdistribution/meso-wharton,Meso-Wharton P199 Deep Skin Rejuvenation Bioreparant | Trelis,possible,product_official_search_candidate,product_ifu_labeling,Is intended for intradermal injection by a certified specialist.; The injection technique and depth are determined individually based on the patient’s skin condition and aesthetic goals.
REC_0447,prod_8e4c4a2135cd,ABG Lab LLC,Meso-Sculpt C71™,Specific Areas,87,https://trelis.eu/en/brands/subdistribution/meso-wharton,Meso-Wharton P199 Deep Skin Rejuvenation Bioreparant | Trelis,possible,product_official_search_candidate,product_official_page,Is intended for intradermal injection by a certified specialist.; The injection technique and depth are determined individually based on the patient’s skin condition and aesthetic goals.
REC_0448,prod_0f21b463f349,ABG Lab LLC,Meso-Wharton P199™,Anti-Aging & Regeneration,87,https://trelis.eu/en/brands/subdistribution/meso-wharton,Meso-Wharton P199 Deep Skin Rejuvenation Bioreparant | Trelis,possible,product_official_search_candidate,product_official_page,Is intended for intradermal injection by a certified specialist.; The injection technique and depth are determined individually based on the patient’s skin condition and aesthetic goals.
REC_0447,prod_8e4c4a2135cd,ABG Lab LLC,Meso-Sculpt C71™,Specific Areas,62,https://globeaesthetics.com/index.php/product/mesosculpt-c71-1x1ml/,MesoSculpt C71 (1×1ml) - Global Aesthetics,possible,brand_official_search_candidate,product_certificate_registration,"Indications: Excessive volumes of subcutaneous fat and fat compartments in the area of the middle and / or lower third of the face, submental region and neck Swelling and pastosity of the face, submental region and neck Gravitational ptosis I-II degree Loss of clear facial contours Deformation-edematous, tired and mixed morphotypes of aging Format: 1 syringe with 1 ml."
REC_0448,prod_0f21b463f349,ABG Lab LLC,Meso-Wharton P199™,Anti-Aging & Regeneration,62,https://globeaesthetics.com/index.php/product/mesosculpt-c71-1x1ml/,MesoSculpt C71 (1×1ml) - Global Aesthetics,possible,brand_official_search_candidate,product_certificate_registration,"Indications: Excessive volumes of subcutaneous fat and fat compartments in the area of the middle and / or lower third of the face, submental region and neck Swelling and pastosity of the face, submental region and neck Gravitational ptosis I-II degree Loss of clear facial contours Deformation-edematous, tired and mixed morphotypes of aging Format: 1 syringe with 1 ml."
REC_0447,prod_8e4c4a2135cd,ABG Lab LLC,Meso-Sculpt C71™,Specific Areas,62,https://globeaesthetics.com/index.php/product/mesosculpt-c71-1x1ml/,MesoSculpt C71 (1×1ml) - Global Aesthetics,possible,brand_official_search_candidate,product_ifu_labeling,"Indications: Excessive volumes of subcutaneous fat and fat compartments in the area of the middle and / or lower third of the face, submental region and neck Swelling and pastosity of the face, submental region and neck Gravitational ptosis I-II degree Loss of clear facial contours Deformation-edematous, tired and mixed morphotypes of aging Format: 1 syringe with 1 ml."
REC_0448,prod_0f21b463f349,ABG Lab LLC,Meso-Wharton P199™,Anti-Aging & Regeneration,62,https://globeaesthetics.com/index.php/product/mesosculpt-c71-1x1ml/,MesoSculpt C71 (1×1ml) - Global Aesthetics,possible,brand_official_search_candidate,product_ifu_labeling,"Indications: Excessive volumes of subcutaneous fat and fat compartments in the area of the middle and / or lower third of the face, submental region and neck Swelling and pastosity of the face, submental region and neck Gravitational ptosis I-II degree Loss of clear facial contours Deformation-edematous, tired and mixed morphotypes of aging Format: 1 syringe with 1 ml."
