label,seed_record_id,product_id,company,brand,indication,source_url
Asclepion - Juliet,REC_0905,prod_94ae636e8c05,Asclepion,Juliet,适用于作为激素疗法或手术的替代方案，治疗女性绝经期泌尿生殖综合征等隐秘疾病。,https://asclepionuk.com/medical-aesthetic-devices/juliet-feminine-laser-concept/
Asclepion - PicoStar,REC_0904,prod_0891962ae1ce,Asclepion,PicoStar,适用于纹身及色素病变去除。,https://asclepion.com/us/new-laser-system-picostar_us/
Asclepion - PicoStar,REC_0545,prod_7f89df3deeda,Asclepion Laser,PicoStar,适用于纹身及色素病变去除。,https://asclepion.com/us/new-laser-system-picostar_us/
Asclepion Laser - QuadroStar Pro,REC_0580,prod_919da12e7d30,Asclepion Laser,QuadroStar Pro,适用于治疗毛细血管扩张、小血管瘤、红血丝或良性色素病变。,https://asclepion.com/en/quadrostarpro_en/
Asterasys - Liftera,REC_0398,prod_b70fbfc60b13,Asterasys,Liftera A / Liftera V,聚焦超声设备，适用于面部及颈部的组织提拉与紧致。,https://liftera.co.kr/?ckattempt=1
Asterasys - Liftera,REC_0399,prod_fdff6d5978e8,Asterasys,Liftera Cool,聚焦超声设备，适用于面部及颈部的组织提拉与紧致。,https://liftera-cool.hk/
Aurora Medical - Diode 808nm,REC_0190,prod_39bab33cf5b7,Aurora Medical,Diode 808nm,808nm 半导体激光设备，适用于破坏毛乳头以达到永久性脱毛的目的。,https://jp.apolo-laser.com/EU-%E5%8C%BB%E7%99%82-CE0197-%E6%89%BF%E8%AA%8D%E3%81%95%E3%82%8C%E3%81%9F-808nm-%E3%83%AC%E3%83%BC%E3%82%B6%E3%83%BC-%E3%83%88%E3%83%AA%E3%83%97%E3%83%AB%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%96-%E3%83%80%E3%82%A4%E3%82%AA%E3%83%BC%E3%83%89-%E3%83%AC%E3%83%BC%E3%82%B6%E3%83%BC%E8%84%B1%E6%AF%9B%E8%A3%85%E7%BD%AE-pd511192468.html
BRERA Medical - Jovena,REC_0366,prod_3a39a11cb2ba,BRERA Medical,Jovena,适用于美容医学和皮肤科中的面部及身体皮下组织治疗，结合射频产生热效应并伴随肌肉刺激。,https://www.breramedical.com/home-en/bmt/depliant
BTL - Emsella,REC_0229,prod_549dfa272486,BTL,Emsella,适用于通过非侵入性 HIFEM 电磁刺激，对盆底肌肉进行康复并恢复神经肌肉控制，以治疗男性和女性的尿失禁。,http://www.emsella.com/
Candela - PicoWay,REC_0857,prod_1f1866e04ec2,Candela,PicoWay,适用于治疗黄褐斑、雀斑、咖啡斑、太田痣、皱纹、良性色素病变、痤疮疤痕以及纹身去除。,https://candelamedical.com/resources/aesthetic-blogs/picoway-system-usability-optimizing-efficiency-and-treatment-experience/
Candela - PicoWay,REC_0547,prod_d56692199d2a,Candela,PicoWay,适用于治疗黄褐斑、雀斑、咖啡斑、太田痣、皱纹、良性色素病变、痤疮疤痕以及纹身去除。,https://candelamedical.com/press-releases/picoway-laser-picosecond-platform-gains-the-challenging-condition-of-melasma/
Classys - Clatuu Alpha,REC_0116,prod_c11d7beb341d,Classys,Clatuu Alpha,适用于通过冷冻溶脂技术减少身体多余脂肪。,https://classys.com/resources/clinical-papers/?mod=document&uid=168
Classys - Clatuu Alpha,REC_0913,prod_6b6a0e3e9272,Classys,CLATUU,适用于通过冷冻溶脂技术减少身体多余脂肪。,https://classys.com/resources/clinical-papers/?mod=document&uid=168
Classys - FORSHAPE,REC_0916,prod_fefe21c20b2a,Classys,FORSHAPE,射频治疗系统，适用于促进新陈代谢、改善血液循环并加速组织恢复。,https://classys.com/product_category/body/
Classys - Scizer,REC_0633,prod_dc6dcb5198b0,Classys,Scizer,适用于减少腹部、侧腰等部位的顽固脂肪。,https://dev2.eclassys.com/product-line/scizer/
Classys - Volnewmer,REC_0757,prod_d0deae9fe331,Classys,Volnewmer,采用单极射频及表皮冷却系统，适用于组织加热治疗。,https://eclassys.com/product/volnewmer/
Classys - Volnewmer,REC_0912,prod_d28a080f123c,Classys,VOLNEWMER,采用单极射频及表皮冷却系统，适用于组织加热治疗。,https://eclassys.com/product/volnewmer/
Cutera - enlighten III,REC_0238,prod_4a03e1349c19,Cutera,enlighten III,采用点阵技术，适用于全肤质的痤疮疤痕、纹理问题和皮肤老化治疗。,https://cutera.com/uk-en/treatments/pigmented-lesion-solutions/
Cutera - excel V+,REC_0256,prod_6bb6bfca40da,Cutera,excel V+,适用于良性血管和皮肤病变的凝固与止血，包括玫瑰痤疮、弥漫性红斑、面部/腿部/眶周静脉、血管瘤、鲜红斑痣、皮肤异色症、皱纹、静脉畸形、炎症性痤疮、良性色素病变及疤痕等。,https://cutera.com/uk-en/products/excel-v-plus/
Cynosure - Potenza,REC_0556,prod_efcd5ac20441,Cynosure,Potenza,射频微针设备，适用于软组织电凝和止血等皮肤科常规手术。,https://www.cynosure.com/upgrade-to-potenza-fusion-tip/
Storz Medical - Storz,REC_0678,prod_38f295a821a1,Storz Medical,Storz,体外冲击波疗法，适用于橘皮组织、皱纹改善、身体塑形及皮肤紧致。,https://www.storzmedical.com/en/disciplines/awt-products-for-aesthetic-indications/
Adoderm - Variofill,REC_0735,prod_7630bd9b5f0b,Adoderm,Variofill,透明质酸凝胶填充剂，专用于臀部增大或塑形。,https://www.adoderm.com/about-us
BNC Korea - BONIVA,REC_0973,prod_c013792ba2b5,BNC Korea,BONIVA,适用于暂时性改善 19-65 岁成人因皱眉肌和/或降眉肌活动引起的中重度眉间纹。,http://www.bnckorea.co.kr/eng/0201products.asp?urlkeyword=BIENOX
BNC Korea - Lumifil,REC_0417,prod_517462ddb18e,BNC Korea,Lumifil,具备高粘度特性的透明质酸填充剂，适用于面部轮廓重塑及 3D 容量填充。,https://koreanfillers.com/product/lumifil-l-max/
BioFormula - Evanthia,REC_0249,prod_44dee492f5a9,BioFormula,Evanthia,Class III 医疗器械，适用于专业医疗面部注射填充。,https://bioformula.it/en/product/evanthia-20-medium/
Bioxis Pharmaceuticals - CYTOSIAL,REC_0148,prod_565eaa15e75f,Bioxis Pharmaceuticals,CYTOSIAL,透明质酸真皮填充剂，用于面部皱纹纠正与容量恢复。,https://bioxis.com/company.html
Biovico - DKK DERM,REC_0194,prod_a8cec84c5793,Biovico,DKK DERM,医疗器械，适用于分离和提取具有增强治疗特性的富血小板血浆。,https://medicalesthetics.biovico.com/products/
Croma Pharma - Croma PDO Threads,REC_0136,prod_c61e66819467,Croma Pharma,Croma PDO Threads,适用于面部及身体多部位的埋线提拉与皮肤改善，包括前额、脸颊、眉毛、鼻子、下颌线、颈部、大腿内侧和腹部等。,https://www.cromapharma.com/uk/products/pdo-threads/
Alta Care - Dermastir Luxury,REC_0180,prod_cb55e88bc4b4,Alta Care,Dermastir Luxury,亮肤面部爽肤产品，旨在均匀肤色并恢复皮肤光泽。,https://dermastir.com/
Aquavit Pharmaceuticals - Aquagold,REC_0044,prod_18999689defb,Aquavit Pharmaceuticals,Aquagold Fine Touch,微通道递送系统，适用于真皮层局部导入与精华递送。,https://aquagoldfinetouch.com/
