queue_id,priority,source_table,source_row_key,issue_type,entity_name,listed_entity_name,current_company_id,stock_code,exchange,ticker_symbol,listing_country,sec_cik,review_status,candidate_company_id,candidate_company_name,candidate_match_rule,suggested_action,owner_module,source_url,notes,generated_at
entity-listed-listed_4dec9c045c6c,P1,listed_company_batch,listed_4dec9c045c6c,blank_company_id,Bayer,Bayer,,BAYN (XETRA),,BAYN (XETRA),,,needs_review,,,,"Review entity identity, decide add-to-company_master vs keep as unresolved reference evidence.",entity_resolution,https://query1.finance.yahoo.com/v8/finance/chart/BAYN.DE?range=5d&interval=1d,Non-US listing: generated official exchange review target; listing identity still needs human review.; ref_hygiene_20260615: company_id cleared co_f7c24821f67c,2026-06-16T13:12:13+08:00
entity-listed-listed_e4561d4b9d18,P2,listed_company_batch,listed_e4561d4b9d18,blank_company_id,Fagron Genomics,Fagron Genomics,,FAGR.BR,BR,FAGR.BR,,,needs_review,,,,Confirm parent/affiliate relationship; do not map to the operating subsidiary without an explicit parent trace.,entity_resolution,https://live.euronext.com/en/search_instruments/FAGR,Non-US listing: generated official exchange review target; listing identity still needs human review.; ref_hygiene_20260615: company_id cleared co_03ea2a65c5ba,2026-06-16T13:12:13+08:00
entity-listed-listed_42453680c2b4,P1,listed_company_batch,listed_42453680c2b4,blank_company_id,Novartis,NOVARTIS AG,,NASDAQ:NOVN,NASDAQ,NOVN,US,0001114448,needs_review,,,,"Review entity identity, decide add-to-company_master vs keep as unresolved reference evidence.",entity_resolution,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=Novartis&owner=exclude&count=10,"SEC company-name search found a registrant, but the seed ticker is not in the SEC current ticker/exchange file; treat as stale/delisted/transaction candidate until reviewed.; ref_hygiene_20260615: company_id cleared co_5bcf2c648760",2026-06-16T13:12:13+08:00
entity-listed-listed_067d99e33ea7,P2,listed_company_batch,listed_067d99e33ea7,blank_company_id,Obagi,Waldencast plc,,NASDAQ:WALD,NASDAQ,WALD,US,0001840199,needs_review,,,,Confirm parent/affiliate relationship; do not map to the operating subsidiary without an explicit parent trace.,entity_resolution,https://data.sec.gov/submissions/CIK0001840199.json,SEC current ticker/exchange file and submissions API verify the listed entity identity; product relationship still needs review.; ref_hygiene_20260615: company_id cleared co_14e328b65da3,2026-06-16T13:12:13+08:00
entity-listed-listed_beb8c268f2b1,P1,listed_company_batch,listed_beb8c268f2b1,blank_company_id,Osteopore,Osteopore,,OSX.ASX,ASX,OSX.ASX,,,needs_review,,,,"Review entity identity, decide add-to-company_master vs keep as unresolved reference evidence.",entity_resolution,https://www.asx.com.au/markets/company/OSX,Non-US listing: generated official exchange review target; listing identity still needs human review.; ref_hygiene_20260615: company_id cleared co_d7eb81741934,2026-06-16T13:12:13+08:00
entity-listed-listed_dd1c51b066f4,P1,listed_company_batch,listed_dd1c51b066f4,blank_company_id,Waldencast,Waldencast plc,,NASDAQ:WALD,NASDAQ,WALD,US,0001840199,review_ready_official_listing,,,,"Review entity identity, decide add-to-company_master vs keep as unresolved reference evidence.",entity_resolution,https://data.sec.gov/submissions/CIK0001840199.json,SEC current ticker/exchange file and submissions API verify the listed entity identity; product relationship still needs review.; ref_hygiene_20260615: company_id cleared co_3b84628cb6ea,2026-06-16T13:12:13+08:00
entity-financial-15,P1,company_financial_metrics,15,blank_company_id,El.En. Group,,,ELN.MI,,ELN,,,manual_pending_verification,co_9ebcc3762c46,El.En.,exact_stock_code,"Review exact_stock_code candidate co_9ebcc3762c46; if the listed/financial entity is the same legal entity, map company_id and add a note with the evidence basis.",entity_resolution,https://www.elengroup.com/en/investors/financial-results,[NON-US MANUAL] Consolidated group: Quanta System + DEKA + Asclepion + Asclepion Laser. FY2024 revenue per investor relations. Gross margin is industry-typical for medical laser groups - needs verification from full annual report.; ref_hygiene_20260615: company_id cleared co_75f33dee2eaf,2026-06-16T13:12:13+08:00
entity-financial-14,P1,company_financial_metrics,14,blank_company_id,Novartis,Novartis AG,,NASDAQ:NOVN,,NOVN,,0001114448,official_sec_xbrl_auto,,,,Verify the stale/incorrect NASDAQ:NOVN ticker and decide whether Novartis is in-scope or parent-only evidence.,entity_resolution,https://data.sec.gov/api/xbrl/companyfacts/CIK0001114448.json,"SEC XBRL annual revenue/gross profit; market cap is the dashboard dynamic market snapshot, so P/S is a derived snapshot ratio.; ref_hygiene_20260615: company_id cleared co_5bcf2c648760",2026-06-16T13:12:13+08:00
entity-financial-11,P1,company_financial_metrics,11,blank_company_id,Obagi,Waldencast plc,,NASDAQ:WALD,,WALD,,0001840199,official_sec_xbrl_auto,,,,Resolve Waldencast listed parent vs Obagi operating-company mapping before assigning company_id.,entity_resolution,https://data.sec.gov/api/xbrl/companyfacts/CIK0001840199.json,"SEC XBRL annual revenue/gross profit; market cap is the dashboard dynamic market snapshot, so P/S is a derived snapshot ratio.; ref_hygiene_20260615: company_id cleared co_14e328b65da3",2026-06-16T13:12:13+08:00
entity-financial-12,P1,company_financial_metrics,12,blank_company_id,Waldencast,Waldencast plc,,NASDAQ:WALD,,WALD,,0001840199,official_sec_xbrl_auto,,,,Resolve Waldencast listed parent vs Obagi operating-company mapping before assigning company_id.,entity_resolution,https://data.sec.gov/api/xbrl/companyfacts/CIK0001840199.json,"SEC XBRL annual revenue/gross profit; market cap is the dashboard dynamic market snapshot, so P/S is a derived snapshot ratio.; ref_hygiene_20260615: company_id cleared co_3b84628cb6ea",2026-06-16T13:12:13+08:00
