seed_record_id,product_id,company,brand,standard_product_name,source_url,indication
REC_0029,prod_010fb5238182,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,https://almainc.com/product/alma-ted/,"Intended for non-invasive hair restoration support through ultrasound-based trans-epidermal delivery, with clinical use focused on improvement of hair density and hair regrowth."
REC_0281,prod_a3dbf7c2947a,Fotona d.o.o.,Fotona,StarWalker MaQX,https://www.fotona.com/en/campaigns/6235/starwalker-r-maqx-the-best-tool-for-pigmented-lesions/,"Intended for treatment of pigmented lesions, including challenging indications such as melasma, and for tattoo removal applications."
REC_0361,prod_954fd28ff315,Jeisys Medical,Jeisys,Density,https://www.jeisys-us.com/density,Cleared for dermatologic and general surgical procedures.
REC_0432,prod_25b2bc40fbc9,Asclepion Laser,MeDioStar Monolith,半导体脱毛激光,https://accessgudid.nlm.nih.gov/devices/04058784000279,"Intended for hair removal, permanent hair reduction, and treatment of benign pigmented and vascular lesions."
REC_0623,prod_a0b846031cf4,Skin Tech,RRS,RRS HA Injectable,https://www.skintechpharmagroup.com/new-rrs-ha-long-lasting-2/,"Indicated for treatment of skin photoaging and its consequences, dermal atrophy, soft filling of skin depressions and wrinkles, and restoration of skin hydration."
REC_0739,prod_452fa724d75f,Canfield Scientific,VECTRA XT / H2,3D Simulation,https://www.canfieldscientific.com/imaging-systems/vectra-xt-3d-imaging-system/,"Intended for three-dimensional imaging, simulation, and assessment of breast asymmetry, including visualization of volume differences and implant parameter adjustments."
REC_0742,prod_ae74838d341f,TransLite,Veinlite,Veinlite LED+ / EMS,https://www.veinlite.com/dfu/led-plus/index.html,"Indicated for improved visualization of veins in geriatric patients, patients with different pigmented skin types, patients with difficult venous access, and pediatric or adult venous access."
REC_0748,prod_c905425b5811,Sinclair Pharma,Viora,Reaction,https://sinclair.com/media/dfjgkkdw/reaction-safetyandperformaceinformation-2025.pdf,Indicated for temporary reduction of cellulite and body contouring through temporary circumference reduction.
REC_0902,prod_235ebd4ddb77,Asclepion,MeDioStar,810+940nm Diode Hair Removal,https://asclepion.com/en/mediostar_en/,Intended for hair removal and treatment of benign vascular and pigmented lesions.
REC_0940,prod_c9edd723d544,Wontech,PICOCARE,PICOCARE 450/Majesty,https://www.accessdata.fda.gov/cdrh_docs/pdf24/K241144.pdf,"Indicated for tattoo removal at 1064 nm and 532 nm for specified Fitzpatrick skin types and tattoo colors, and for treatment of benign pigmented lesions for Fitzpatrick skin types I-IV."
TOPLINE_SINCLAIR_LANLUMA_20260530,prod_ab483f36c201,Sinclair Pharma,Lanluma,PLLA Collagen Stimulating Injectable Filler,https://sinclair.com/uk/brands/injectables-and-threads/lanluma/,"Indicated as a poly-L-lactic acid implant suitable for increasing the volume of depressed areas, particularly to correct skin depressions."
