rank,country,source_country,company_count,coverage_tier,proxy_status,source_count,discovery_record_count,downloaded_artifacts,provider_locator_sources,doctor_denominator_sources,association_entry_sources,distributor_or_channel_sources,data_roles,source_ids,source_names,next_action,captured_at
1,South Korea,South Korea,105,context_or_demand_proxy,doctor_denominator_available,2,10,2,0,1,2,0,health_industry_portal; medical_tourism_specialty_proxy,korea_khiss_health_industry_stats; korea_mohw_foreign_patient_stats,Korea KHISS Health Industry Statistics Portal; Korea MOHW Foreign Patient Statistics,"Use physician/surgeon denominator as national density proxy, then add locator coverage.",2026-07-07T11:55:16+08:00
2,USA,USA,52,treatment_volume,provider_locator_available,3,3,0,1,1,2,0,company_physician_touchpoint_proxy; treatment_volume_country_year,aesthetic_society_statistics; asps_plastic_surgery_statistics; cms_open_payments,The Aesthetic Society Procedural Statistics; American Society of Plastic Surgeons Plastic Surgery Statistics; CMS Open Payments,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
3,Italy,Italy,30,metric_qa_candidate,association_entry_only,2,42,2,0,0,2,0,treatment_volume_country_year_candidate; treatment_volume_secondary_isaps_commentary,italy_aicpe_observatory_statistics; italy_sicpre_isaps_statistics,AICPE Observatory and Statistics; SICPRE ISAPS Report Commentary,Keep as association/source entry until provider or denominator data is captured.,2026-07-07T11:55:16+08:00
4,France,France,28,channel_density_proxy,provider_locator_available,2,3,1,1,1,2,0,surgeon_denominator_proxy; surgeon_density_context_proxy,france_cnom_medical_demography_atlas; france_sofcep_surgery_context,CNOM Medical Demography Atlas; SOFCEP Plastic and Aesthetic Surgery in France,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
5,Germany,Germany,20,metric_qa_candidate,association_entry_only,1,18,10,0,0,1,0,procedure_mix_country_year,germany_dgaepc_statistics,DGÄPC Statistics,Keep as association/source entry until provider or denominator data is captured.,2026-07-07T11:55:16+08:00
6,Israel,Israel,16,context_or_demand_proxy,provider_locator_available,2,15,4,1,1,2,0,association_context_proxy; association_survey_interest_proxy,israel_ima_society_context; israel_plastic_surgery_society_news,IMAJ Plastic Surgery in Israel Issue Context; Israel Society of Plastic and Aesthetic Surgery News and Locator,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
7,Spain,Spain,16,metric_qa_candidate,association_entry_only,1,1,1,0,0,1,0,treatment_volume_country_year_candidate,spain_secpre_aesthetic_surgery_report,SECPRE Aesthetic Surgery Reality in Spain Report,Keep as association/source entry until provider or denominator data is captured.,2026-07-07T11:55:16+08:00
8,Switzerland,Switzerland,13,channel_density_proxy,provider_locator_available,2,45,0,1,1,2,0,association_context_proxy; surgeon_denominator_proxy,switzerland_fmh_physician_statistics; switzerland_plastic_surgery_society,FMH Physician Statistics Interactive Dashboard; Swiss Society for Plastic Reconstructive and Aesthetic Surgery,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
9,UK,United Kingdom,6,treatment_volume,association_entry_only,1,11,7,0,0,1,0,treatment_volume_country_year,uk_baaps_annual_audit,BAAPS Annual Audit Results,Keep as association/source entry until provider or denominator data is captured.,2026-07-07T11:55:16+08:00
10,Japan,Japan,4,channel_density_proxy,provider_locator_available,2,16,1,2,2,1,0,physician_specialty_demand_proxy; provider_channel_density_proxy,japan_mhlw_aesthetic_medicine_status; japan_mhlw_medical_info_net,MHLW Aesthetic Medicine Status Materials; MHLW Medical Information Net Provider Search,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
11,Czech Republic,Czech Republic,3,channel_density_proxy,provider_locator_available,2,8,0,1,1,1,0,association_context_proxy; provider_channel_density_proxy,czech_cspch_society_context; czech_nrpzs_provider_registry,Czech Society of Plastic Surgery; Czech NRPZS Healthcare Provider Registry,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
12,Canada,Canada,3,channel_density_proxy,provider_locator_available,3,56,1,1,1,3,0,association_context_proxy; surgeon_denominator_proxy; surgeon_density_proxy,canada_cihi_physician_specialty; canada_csaps_surgeon_locator; canada_csps_society_context,CIHI Physicians per 100000 Population by Specialty; Canadian Society for Aesthetic Plastic Surgery Surgeon Locator; Canadian Society of Plastic Surgeons,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
13,Poland,Poland,3,channel_density_proxy,provider_locator_available,2,16,7,1,1,2,0,surgeon_denominator_proxy; surgeon_density_proxy,poland_nil_physician_statistics; poland_ptchprie_surgeon_locator,NIL Central Register of Physicians Statistics; Polish Society of Plastic Reconstructive and Aesthetic Surgery Locator,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
14,Sweden,Sweden,3,channel_density_proxy,provider_locator_available,3,76,0,1,1,2,0,association_context_proxy; surgeon_denominator_proxy; surgeon_density_proxy,sweden_sfep_surgeon_locator; sweden_socialstyrelsen_hosp_register; sweden_spkf_society_context,Swedish Society for Aesthetic Plastic Surgery Surgeon Locator; Socialstyrelsen HOSP Authorised Healthcare Professionals Register; Swedish Association of Plastic Surgeons,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
15,Taiwan,Taiwan,3,channel_density_proxy,provider_locator_available,2,18,2,2,0,1,0,provider_channel_density_proxy; provider_denominator,taiwan_mohw_aesthetic_medicine_institutions; taiwan_mohw_medical_facility_open_data,Taiwan MOHW Aesthetic Medicine Institutions; Taiwan MOHW Medical Institution Open Data,Run provider-locator/enrichment scrape to city/provider grain.,2026-07-07T11:55:16+08:00
