confirm_id,group,group_instruction,priority,gap_score,seed_record_id,company,brand,original_product_name,track,form,technology,current_problem,lead_url,lead_domain,recommended_action,suggested_user_reply_options,korea_p1,korea_status
NEXT-001,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1015,Advance Esthetic,Adonyss,CarbonFrax CO2,EBD,Laser,CO2 Laser,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://adonyss.com/,adonyss.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-002,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1016,Advance Esthetic,Adonyss,DioPulse 808,EBD,Laser,Diode Laser,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://adonyss.com/,adonyss.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-003,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1017,Advance Esthetic,Adonyss,T-Novation,EBD,Laser,Q-Switched Laser,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://adonyss.com/,adonyss.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-004,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1018,Advance Esthetic,Adonyss,OxiPulse,EBD,Professional Treatment,Oxygen Therapy,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://adonyss.com/,adonyss.com,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-005,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1019,Advance Esthetic,Zemits,CoolRestore Elegance,EBD,Cryotherapy,Cryolipolysis,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://a-estetic.mx/,a-estetic.mx,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-006,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1020,Advance Esthetic,Zemits,DermeLuxx,EBD,Skin Management,Hydrodermabrasion / Oxygen Infusion,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://a-estetic.mx/,a-estetic.mx,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-007,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1021,Advance Esthetic,Zemits,Verstand HD / Pro,EBD,HIFU,LIPUS / Multi-function,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://a-estetic.mx/,a-estetic.mx,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-008,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P0,90,REC_1022,Advance Esthetic,Zemits,Abigon Pro,EBD,Radiofrequency,LIPUS / Radiofrequency,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；重点公司/重点产品；已有线索但未能直接落库,https://a-estetic.mx/,a-estetic.mx,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-009,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1054,Aezian,aesPlla,aesPlla PLLA Filler,Injectables,Biostimulator,PLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-010,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1055,FacePharm Korea,Etrebelle,Etrebelle 50 mg / 200 mg,Injectables,Biostimulator,PDLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-011,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1051,Meamo Labs,BEAUX,BEAUX Collagen Stimulator (PDLLA/HA),Injectables,Biostimulator,PDLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-012,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1052,Meamo Labs,BEAUY,BEAUY (PLLA 200),Injectables,Biostimulator,PLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-013,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1053,USCAREPHARM,ERBELLA,ERBELLA PLA PLUS AQ / EPI,Injectables,Skin Booster,PLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-014,韩国再生材料/MFDS P1,先确认产品身份，再补韩国 MFDS/KFDA；若只是分销/弱线索就排除。,P0,86,REC_1050,WEDERM,POWER COL-TRA,POWER COL-TRA,Injectables,Biostimulator,PLLA,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,,,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-015,主流 HA 填充剂,通常是核心产品线；请确认是否补入官方适应证/监管，还是并入既有大品牌家族。,P0,80,REC_0426,Kylane,Kysense,Kysense Body HA filler,Injectables,Dermal Filler,Hyaluronic Acid,主表仍是 seed/未核身份；缺直接官网产品页；缺直接规格/IFU候选；缺注册证据；缺官方适应证；已有线索但未能直接落库,https://aestheticmed.co.uk/,aestheticmed.co.uk,Review fuzzy official product/catalog/IFU URL and attach it to product/family.,确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-016,韩国注射/耗材/MFDS P1,确认产品身份与是否纳入，再补 MFDS/KFDA 或标记无公开证号。,P0,78,REC_0883,Medytox,New Biju,Cholic Acid Lipolytic,Injectables,Lipolytic,Lipolytic,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库；韩国 MFDS/KFDA P1：需先核产品身份,https://www.asiae.co.kr/en/article/2023121815474699090,asiae.co.kr,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-017,韩国手术耗材/MFDS P1,确认是否属于医美上游核心耗材；非核心通用耗材可排除或并入。,P1,66,REC_0501,Baz Biomedic,NOVAPlus Nozzle,专用无针喷嘴 (Nozzle Kits),Consumables,Disposables,Needle-Free Injector Nozzle,主表仍是 seed/未核身份；缺直接规格/IFU候选；缺注册证据；缺官方适应证；韩国 MFDS/KFDA P1：需先核产品身份,https://www.aestheticnews.co.kr/news/articleView.html?idxno=11202,aestheticnews.co.kr,Cross-check product existence and core positioning against official product page.,确认保留并补官方适应证/监管；确认保留；韩国 MFDS/KFDA 无公开证号；并入现有产品/作为 SKU 或配件；排除-非医美/非上游/弱线索；先查证,yes,需先核产品身份，再查 MFDS
NEXT-018,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,66,REC_0733,BTL,Vanquish ME,Contactless Fat Reduction,EBD,Radiofrequency,Radiofrequency,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://btlaesthetics.com.au/for-providers/vanquishme-providers/,btlaesthetics.com.au,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
NEXT-019,光电/能量源设备,确认设备是否真实医美上游产品线，并补官方适应证/监管；弱代理或院端服务可排除。,P1,66,REC_0870,BTL,Vanquish ME,Non-Contact Selective RF,EBD,Radiofrequency,Monopolar RF,主表仍是 seed/未核身份；缺注册证据；缺官方适应证；缺已核差异化/规格点；重点公司/重点产品；已有线索但未能直接落库,https://www.biospace.com/btl-vanquish-by-b-btl-industries-b-receives-fda-clearance-for-non-surgical-circumferential-reduction-of-the-abdomen,biospace.com,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence.",确认保留并补官方适应证/监管；排除-非医美/非上游/弱线索；先查证,,
