seed_record_id,label,action,old_indication,new_indication,source_url
REC_0849,Alma Lasers - Alma Duo,updated,"Intended for sexual wellness applications using focused low-intensity shock wave therapy (LI-ESWT) to stimulate blood flow, support sexual function, and restore spontaneity and pleasure.",Indicated for the stimulation of blood flow to support sexual function and restore spontaneity in both men and women using focused low-intensity shock wave therapy (LI-ESWT).,https://almainc.com/product/alma-duo/
REC_0859,Candela - CO2RE Intima,updated,Indicated for the treatment of genitourinary syndrome of menopause (GSM) and stress urinary incontinence (SUI) in adult women.,Indicated for the treatment of genitourinary syndrome of menopause (GSM) and stress urinary incontinence (SUI) in adult women.,https://candelamedical.com/press-releases/candela-announces-health-canada-approval-of-two-new-gynecological-indications-for-core-laser-platform/
REC_0336,Halozyme Therapeutics - Hylenex,updated,Indicated as an adjuvant to increase the dispersion and absorption of other injected drugs.,Indicated as an adjuvant in subcutaneous fluid administration for achieving hydration and to increase the dispersion and absorption of other injected drugs.,https://halozyme.com/wp-content/uploads/Hylenex-Final-USPI-Rev07_Nov2024-1.pdf
REC_0818,Solta Medical - VASERlipo,updated,"Indicated for the fragmentation, emulsification and aspiration of soft tissues in surgical specialties including plastic and reconstructive surgery.","Indicated for the fragmentation, emulsification and aspiration of soft tissues in plastic and reconstructive surgery.",https://pages.solta.com/VaserVideos
REC_0931,Caregen - DR. CYJ Hair Filler,updated,Indicated for the treatment of scalp and hair lesions caused by external aggressions.,Indicated for the treatment of scalp and hair lesions caused by external aggressions and for hair revitalization.,https://www.centralefillers.com/products/dr_cyj_hair_filler-1-ml
REC_0561,Cocoon Medical - Primelase HR excellence,updated,Intended for the permanent reduction in hair regrowth.,Intended for the permanent reduction in hair regrowth.,https://www.homemedicallaser.com/product/cocoon-primelase-diode-laser-810nm/
REC_0834,Cutera - truSculpt flex+,updated,"Indicated for the improvement of abdominal tone, strengthening of abdominal muscles, and development of a firmer abdomen.","Indicated for the improvement of abdominal tone, strengthening of the abdominal muscles, and development of a firmer abdomen.",https://cutera.com/us-en/products/truflex/
REC_0892,IBSA Derma - Aliaxin EV,updated,Indicated for the correction of deep skin damage in the face and to increase facial volume.,Indicated for the correction of deep skin damage in the face and for facial volume enhancement.,https://www.fillermarket.com/en/filler/11524-ibsa-aliaxin-ev-essential-volume.html
REC_0890,IBSA Derma - Aliaxin SR,updated,"Indicated for the correction of medium and deep skin damages of the face, and to increase the volume and contour of the lips.",Indicated for the correction of medium and deep skin damages of the face and to increase the volume and contour of the lips.,https://www.fillermarket.com/en/filler/11391-ibsa-aliaxin-sr-shape-restore.html
REC_0316,APS - Hifu Top,updated,"Indicated for tightening loose skin around the eyes and neck, lifting downturned mouth and jowls, enhancing flattened cheekbones, and reducing perioral wrinkles.","Indicated for non-invasive lifting and tightening of loose skin around the neck and eyes, correction of downturned mouth, jowls, and perioral wrinkles.",https://www.top-aes.com/high-intensity-focused-ultrasound-hifu/ultraskin/
REC_0853,Alma Lasers - Alma PrimeX,updated,Indicated for comprehensive body and facial contouring using a combination of guided ultrasound and deep radiofrequency heating.,Indicated for comprehensive body and facial contouring using combined guided ultrasound and deep radiofrequency heating.,https://almalasers.com/product/alma-primex/
REC_0041,Asterasys - Aqua Peel Tera,added,,"Indicated for exfoliation and sebum removal to enhance absorption of skincare products, improvement of skin tone, and treatment of acne, whiteheads, and blackheads.",http://www.futeraskin.com/page/s2/s1.php
REC_0869,BTL - EMFEMME 360,updated,适用于治疗阴道松弛、性交疼痛、更年期泌尿生殖综合征 (GSM) 及改善尿渗漏问题。,适用于改善阴道松弛、性交疼痛、更年期泌尿生殖综合征 (GSM) 及女性尿渗漏/尿失禁问题。,https://www.btlmedical.com.hk/
REC_0957,Beauty Health - HydraFacial Keravive,added,,"Indicated for improving the appearance of wrinkles and mild-to-moderate acne, reducing temporary redness, and targeting oily skin, congestions, and blemishes.",https://hydrafacialemea.com/treatment-type/scalp/hydrafacial-keravive/
REC_0047,CMed Aesthetics - ARES,added,,Indicated as an antioxidant and anti-aging mesotherapy treatment for chronologically aged or photoaged skin lacking radiance.,https://cmedaesthetics.com/ares-ao-4/
REC_0477,Fillmed - NCTF 135 HA,added,,"Indicated for dermal injection into the face, neck, and decollete for intense tissue revitalization, hydration of tired or dull skin, and treatment of superficial wrinkles.",https://fillmed.com/wp-content/uploads/2024/10/FO.69_SSCP_NCTF-135-HA_2024.07.16.pdf
REC_0807,Galderma - Restylane SHAYPE,added,,Indicated for chin augmentation and the correction of chin recessions using NASHA HD hyaluronic acid technology.,https://www.galderma.com/news/galderma-announces-regulatory-approval-restylaner-shaypetm-new-hyaluronic-acid-injectable
