seed_record_id,reason,indication
REC_0517,review_source_not_found,Intended for localized adipose-tissue treatment using Coolwaves energy focused in subcutaneous fat while preserving adjacent tissues.
REC_0241,review_source_not_found,Intended for skin rejuvenation and ablative Er:YAG laser treatments.
REC_0065,review_source_not_found,"Intended for simultaneous laser-assisted liposuction, fat reduction and skin tightening."
REC_0465,review_source_not_found,Intended for breast augmentation or reconstruction using silicone breast implants.
REC_0534,review_source_not_found,Cosmetic transdermal delivery products intended for professional use.
REC_0774,review_source_not_found,Intended for laser treatment of skin lesions and cosmetic blemishes.
REC_0034,review_source_not_found,"Intended for skin analysis of pores, oil, wrinkles, pigmentation, moisture, elasticity, skin temperature and skin tone."
REC_0911,review_source_not_found,Intended for wrinkle improvement using the ULTRAFORMER/Shurink focused-ultrasound platform.
REC_0516,review_source_not_found,Intended for treatment of cellulite and localized adiposity using microwave energy.
REC_0135,review_source_not_found,"Indicated for treatment of pseudogynecomastia and for reduction of localized fat deposits on the abdomen, thighs, arms, flanks, chin and knees."
REC_0524,review_source_not_found,"Indicated for inflammatory acne, scar attenuation and melasma treatment, and for aesthetic treatment of sagging or aging skin, skin rejuvenation, tightening and stretch marks."
REC_0133,review_source_not_found,"Intended as a superficial chemical peel for wrinkles, texture irregularities, smoker's complexion and pigment disorders."
REC_0200,review_source_not_found,Indicated for brightening and lightening the appearance of uneven skin tone and visibly reducing the appearance of hyperpigmented skin concerns.
REC_0175,review_source_not_found,"Indicated for microneedling treatment of scars, especially acne scars, injury scars, burn scars and stretch marks."
REC_0219,review_source_not_found,Intended for safe and long-lasting filling of moderate wrinkles using a cross-linked hyaluronic acid gel with lidocaine.
REC_0383,review_source_not_found,"Intended for contact surgery or vaporization of lesions such as condylomas, fibromas, vascular lesions, pigmented spots, keratoses and warts, and for photobiomodulation applications."
REC_0243,review_source_not_found,"Intended for Endolift laser treatment of progressive lipodystrophy, acne scars and cutaneous ptosis using a 1470 nm wavelength."
REC_0998,review_source_not_found,"Intended for skin toning, photorejuvenation and treatment of pigmented lesions, scars and tattoos."
REC_0810,review_source_not_found,Intended to assist recovery from surgical body procedures.
REC_0224,review_source_not_found,"Intended for hyaluronic acid dermal-filler augmentation of the cheeks, chin, forehead, jawline or nose."
REC_0263,review_source_not_found,Intended for skin rejuvenation with Exolure exosome products.
REC_0889,review_source_not_found,"Intended to restore loss of fullness, shape facial contours and restore depressions in skin and tissue."
REC_0887,review_source_not_found,"Indicated for structural tissue support and optimization of tissue quality, with focus on age-related changes in superficial adipose compartments."
REC_0839,review_source_not_found,"Intended to improve and treat skin irregularities including sun spots, age spots, freckles, pigmentation and superficial veins."
REC_0466,review_source_not_found,Cleared for dermatological and general surgical procedures for electrocoagulation and hemostasis.
REC_0122,review_source_not_found,FDA-cleared to improve the appearance of facial acne scars in adults aged 22 years and older with Fitzpatrick skin types I-III.
REC_0696,review_source_not_found,"Indicated for glabellar lines; development indications include facial wrinkles, masseter muscle reduction, spasticity, spasm or pain, hair loss and scars."
REC_0486,review_source_not_found,"Intended to improve the appearance of fine lines and wrinkles, skin clarity, dark spots, mild to moderate acne, superficial acne scarring, keratoses, benign lentigines, pseudofolliculitis and keratosis pilaris."
REC_0460,review_source_not_found,Intended for administering pharmaceuticals through a device designed to come into direct contact with the drug.
REC_0440,review_source_not_found,"Indicated for melasma, post-inflammatory hyperpigmentation, age spots, visible signs of aging, uneven skin tone, photoaging, dehydrated or malnourished skin and decreased collagen production."
REC_0483,review_source_not_found,Indicated as a biorevitalizing solution for discolored skin.
REC_0983,review_source_not_found,"Intended for personalized body contouring through radiofrequency heating of subcutaneous fat, including targeting stubborn fat cells."
REC_1008,review_source_not_found,Intended as an 830 nm LED low-level light therapy system to enhance aesthetic treatment results and minimize downtime.
REC_1007,review_source_not_found,Intended for muscle activation treatment of the abdominal and oblique muscle groups.
REC_1009,review_source_not_found,Intended for non-ablative fractional resurfacing to revitalize and brighten skin by stimulating collagen and elastin in the mid-dermis.
REC_0703,review_source_not_found,Intended to increase skin elasticity and density.
REC_0218,review_source_not_found,"Indicated for cutaneous rejuvenation, prevention of photoaging damage, treatment of stretch marks and preparation before intradermal fillers."
REC_0129,review_source_not_found,Indicated for temporary improvement of moderate to severe glabellar wrinkles related to corrugator and/or procerus muscle activity in adults aged 20 to 65.
REC_0489,review_source_not_found,"Intended for skin rejuvenation, wrinkle correction and volume augmentation."
REC_0885,review_source_not_found,"Intended for skin rejuvenation, wrinkle correction and volume augmentation."
REC_0884,review_source_not_found,"Intended for skin rejuvenation, wrinkle correction and volume augmentation."
REC_0886,review_source_not_found,Indicated for restoring facial volume and redefining facial contours.
REC_0746,review_source_not_found,Intended for modern liposuction procedures using Vibrasat Pro cannulas.
REC_0208,review_source_not_found,Intended for treatment of vascular and pigmented lesions.
REC_0503,review_source_not_found,Intended for non-invasive body contouring to reduce cellulite and volume while promoting tissue regeneration.
REC_0397,review_source_not_found,Intended as a 3D aesthetic photography system for face consultation and pre-operative consultation workflows.
REC_0628,review_source_not_found,Intended for subcutaneous injection of hyaluronic acid with lidocaine for temporary improvement of medium to severe nasolabial folds in adults via tissue restoration.
REC_0625_CELLUTRIX,review_source_not_found,"Indicated for edematous fibrosclerotic panniculopathy on the legs, buttocks, abdomen and arms."
REC_0627,review_source_not_found,"Indicated for heavy skin toning, tightening and hydration."
REC_0918,review_source_not_found,"Intended for strengthening, firming and toning the muscles of the abdomen, thighs and buttocks, including improvement of abdominal tone and strengthening of abdominal muscles."
REC_0679,review_source_not_found,"Indicated for prevention and treatment of abnormal and excessive scar formation, including scars resulting from general or cosmetic surgery."
REC_0681,review_source_not_found,Intended for treatment of forehead lines and crow's feet with the STYLAGE S hyaluronic acid filler.
REC_0924,review_source_not_found,"Indicated for harvesting hair follicles from the scalp in men with androgenic alopecia and for assisting hair follicle extraction, recipient-site creation and implantation during hair transplantation."
REC_0925,review_source_not_found,Indicated for suction-assisted follicular extraction and re-implantation in male and female patients.
REC_0922,review_source_not_found,The SR515 and SR580 applicators are CE-marked for treatment of benign pigmented epidermal and cutaneous lesions and benign cutaneous vascular lesions.
REC_0743,review_source_not_found,Cleared for non-invasive treatment of moderate to severe facial wrinkles and rhytides in females with Fitzpatrick skin types I-IV and for temporary reduction in the appearance of cellulite.
REC_0299,review_source_not_found,Intended as an implantable hyaluronic acid body filler for body re-sculpting.
REC_0785,review_source_not_found,Intended to temporarily reduce the appearance of cellulite and enhance body-shaping results.
