company_id,company,stock_code,ticker_symbol,exchange,fiscal_year,revenue_local,revenue_currency,revenue_usd_m,gross_profit_local,gross_margin_pct,market_cap_usd_m,ps_ratio,revenue_basis,revenue_filed,source_url,review_status,note
co_caa70cefbd7d,Hugel,KRX:145020,145020.KQ,KOSDAQ,,,KRW,,,,2012.13,,K_IFRS_consolidated,,https://www.hugel.co.kr/eng/ir/main.do,pending_collection,Need: FY2024 revenue + gross margin from Hugel investor relations page (Korean K-IFRS). Estimate ~$280M revenue based on prior years.
co_3a8fb43c2c6f,Classys,KRX:214150,214150.KQ,KOSDAQ,,,KRW,,,,2232.75,,K_IFRS_consolidated,,https://www.classys.com/eng/ir/financial.php,pending_collection,Need: FY2024 revenue + gross margin. EBD-only standalone; high margin (60%+) typical.
co_medytox_krx,Medytox,KRX:086900,086900.KQ,KOSDAQ,,,KRW,,,,450.54,,K_IFRS_consolidated,,https://www.medytox.com/en/ir/ir_financial.html,pending_collection,Need: FY2024 revenue. Litigation with Allergan/Daewoong has affected recent figures.
co_sisram_hkex,Sisram Medical,HKEX:1696,1696.HK,HKEX,,,USD,,,,,,IFRS_consolidated,,https://www.sisrammed.com/en/investor-relations,pending_collection,Need: FY2024 annual report. Alma Lasers is the main subsidiary.
co_pr_bio_krx,PharmaResearch,KRX:214450,214450.KQ,KOSDAQ,,,KRW,,,,2186.08,,K_IFRS_consolidated,,https://www.pharmaresearchbio.com/en/investors,pending_collection,Need: Rejuran HB (PN/PDRN) franchise FY2024 revenue.
co_caregen_krx,Caregen,KRX:214370,214370.KQ,KOSDAQ,,,KRW,,,,3183.10,,K_IFRS_consolidated,,https://www.caregen.com/en/investors,pending_collection,Need: FY2024 revenue. Peptide skincare / aesthetics.
co_daewoong_krx,Daewoong Pharm,KRX:069620,069620.KQ,KOSPI,,,KRW,,,,,,K_IFRS_consolidated,,https://www.daewoong.co.kr/eng/ir/disclosure.php,pending_collection,Large pharma; medical aesthetics is only a slice via Nabota botulinum.
co_l_oreal,L'Oréal,OR.PA,OR,Paris,,,EUR,,,,222238.52,,IFRS_consolidated,,https://www.loreal-finance.com/en/annual-report-2024,pending_collection,Need: Active Cosmetics + Professional segments only - the rest is luxury/consumer.
co_ipsen,Ipsen Pharma,IPN.PA,IPN,Paris,,,EUR,,,,15852.17,,IFRS_consolidated,,https://www.ipsen.com/investor-relations/,pending_collection,Dysport (toxin) only - need to break out medical aesthetics segment.
co_bayer,Bayer,BAYN.DE,BAYN,XETRA,,,EUR,,,,43387.24,,IFRS_consolidated,,https://www.bayer.com/en/investors,pending_collection,Limited medical aesthetics exposure - mostly consumer health / pharma.
