task_id,phase,priority,workstream,source_id,target_dataset,target_table,scope,years,segments,metrics,method,status,blocking_dependency,next_action,acceptance_check
cdp1_isaps_schema_lock,1,1,treatment_timeline,isaps_global_survey,commercial_procedure_metrics,market_metrics,"global;country","2020-2024","All procedures;Surgical;Non-surgical;Injectables;Facial rejuvenation;Other non-surgical",procedure_volume,normalize_existing_seed_to_phase1_schema,completed,none,"Keep using scripts/sync_isaps_market_metrics.py as the canonical ISAPS extraction path.","Existing 2020-2024 rows keep same counts and expose year/geo/category/unit/source URL."
cdp1_isaps_2023_backfill,1,2,treatment_timeline,isaps_global_survey,commercial_procedure_metrics,market_metrics,"global;country",2023,"same as source table coverage",procedure_volume,pdf_table_extraction_with_manual_qa,completed,none,"Maintain regression checks for official 2023 global, US and Brazil totals before future backfills.","Rows load with year=2023 and confidence=official_association_report; country totals reconcile with PDF table."
cdp1_isaps_2022_2020_backfill,1,3,treatment_timeline,isaps_global_survey,commercial_procedure_metrics,market_metrics,"global;country","2020-2022","same as source table coverage",procedure_volume,pdf_table_extraction_with_manual_qa,completed,none,"Maintain regression checks for official 2020-2022 global, US and Brazil totals before future backfills.","Rows load with years 2020-2022 and confidence=official_association_report; country totals reconcile with PDF tables."
cdp1_asps_2024_us_deepdive,1,4,treatment_timeline,asps_plastic_surgery_statistics,commercial_procedure_metrics,market_metrics,"US;US_region",2024,"surgical;minimally invasive;procedure",procedure_volume;average_fee;regional_distribution,pdf_html_table_extraction,completed,none,"Maintain scripts/extract_asps_market_metrics.py as the ASPS extraction path for 2024 procedure, average-fee and regional rows.","US rows are source-labeled ASPS and do not overwrite ISAPS US totals."
cdp1_asps_historical_us_deepdive,1,5,treatment_timeline,asps_plastic_surgery_statistics,commercial_procedure_metrics,market_metrics,"US;US_region","2020-2023","surgical;minimally invasive;procedure",procedure_volume;average_fee,pdf_html_table_extraction,completed,none,"Maintain ASPS 2020/2022/2023 official procedure rows in data/asps_market_metrics.csv; 2021 remains absent because no dedicated PDF is in the current official source set.","US procedure trend has 2020/2022/2023/2024 ASPS rows for official source PDFs."
cdp1_aesthetic_society_us_private_practice,1,6,treatment_timeline,aesthetic_society_statistics,commercial_procedure_metrics,market_metrics,US,"2020-latest_available","surgical;non-surgical;procedure",procedure_volume;billing_proxy,pdf_table_extraction_with_source_label,source_pdfs_acquired,none,"Parse downloaded Aesthetic Society 2020-2021, 2022 and 2023 official statistics PDFs as a separate US methodology lane.","Rows carry source_org=The Aesthetic Society and methodology note; no silent merge with ASPS."
cdp1_uk_baaps_2020_2025_audit_extract,1,7,treatment_timeline,uk_baaps_annual_audit,commercial_procedure_metrics,market_metrics,United Kingdom,"2020-2025",procedure,procedure_volume,pdf_table_and_text_extraction_with_source_label,completed_promoted_source_labeled,none,"Use data/baaps_market_metrics.csv: BAAPS UK audit rows are promoted as a source-labeled lane; 2022 is currently non-surgical-only because no direct 2022 surgical PDF was captured.","UK rows are source-labeled BAAPS and do not overwrite ISAPS United Kingdom totals."
cdp1_germany_dgaepc_2020_2025_metric_qa,1,8,treatment_timeline,germany_dgaepc_statistics,commercial_procedure_metrics,market_metrics,Germany,"2020-2025","procedure;survey_dimension",procedure_mix_proxy;patient_demographics,pdf_table_extraction_with_metric_qa,metric_qa_completed_proxy_only,none,"Use data/audits/europe_metric_qa_latest.csv: DGÄPC is patient-survey demand context and should stay out of procedure_volume mainline.","Only count-like metrics enter market_metrics as treatment volume; DGÄPC survey percentages remain source-labeled preference/demand proxy if extracted later."
cdp1_brazil_sbcp_censo_metric_qa,1,9,treatment_timeline,brazil_sbcp_pesquisas_censo,commercial_channel_coverage,commercial_channel_density_detail,Brazil,2025,state,surgeon_demography;channel_density_denominator,flipbook_image_manual_qa,completed_channel_denominator,none,"Use data/commercial_channel_density_detail.csv: SBCP Censo 2025 page 4 is promoted as Brazil state plastic-surgeon denominator, not treatment volume.","Only official count-like Brazil procedure metrics enter market_metrics; SBCP Censo 2025 surgeon demography remains channel-density context."
cdp1_spain_secpre_2022_metric_qa,1,10,treatment_timeline,spain_secpre_aesthetic_surgery_report,commercial_procedure_metrics,market_metrics,Spain,2022,"procedure;patient_segment",treatment_volume_candidate;procedure_mix,pdf_table_extraction_with_metric_qa,metric_qa_completed_hold,none,"Use data/audits/europe_metric_qa_latest.csv: SECPRE is held for manual text-block QA because first-pass table extraction did not expose stable tables.","Spain rows enter market_metrics only when the table is a count-like official association metric with SECPRE source label."
cdp1_italy_aicpe_2019_2020_metric_qa,1,11,treatment_timeline,italy_aicpe_observatory_statistics,commercial_procedure_metrics,market_metrics,Italy,"2019-2020","procedure_group;procedure",treatment_volume_crosscheck;procedure_mix,html_claim_extraction_with_primary_isaps_crosscheck,metric_qa_completed_crosscheck_only,none,"Use data/audits/europe_metric_qa_latest.csv: AICPE is Italy association context only; 2020 duplicates ISAPS and 2019 remains optional pre-2020 baseline.","No AICPE commentary value overwrites primary ISAPS data; 2020 stays as cross-check and 2019 is not promoted unless official ISAPS 2019 backfill is reopened."
cdp1_italy_sicpre_isaps_commentary,1,12,treatment_timeline,italy_sicpre_isaps_statistics,commercial_procedure_metrics,market_metrics,Italy,2023,"procedure_group;country_total",secondary_isaps_context,html_claim_extraction_with_primary_pdf_crosscheck,metric_qa_completed_do_not_promote,none,"Use data/audits/europe_metric_qa_latest.csv: SICPRE is secondary commentary and should not be promoted as a new source over primary ISAPS.","No SICPRE commentary value overwrites primary ISAPS data; source lane remains explicit."
cdp1_isaps_2019_2015_backfill,1,99,treatment_timeline,isaps_global_survey,commercial_procedure_metrics,market_metrics,"global;country","2015-2019","procedure_group;country_total",procedure_volume,pdf_table_extraction_with_manual_qa,optional_deferred,none,"Do not actively chase older ISAPS PDFs; only backfill if official files are readily available while focusing on 2020-present gaps.","Optional pre-2020 rows are source-labeled if added; absence does not block 2020-present market intelligence."
cdp2_sec_aesthetic_segment_revenue,2,1,company_revenue,sec_edgar_companyfacts,company_aesthetic_revenue_segments,company_financial_metrics,"US-listed companies","2020-2025","company_total;reported_aesthetic_segment",revenue_usd_m;gross_margin_pct;growth,10k_segment_table_extraction,partial_live,company_mapping_review,"Extend current SEC total-revenue pull with segment/product-line revenue extraction from 10-K text/tables.","Companies with disclosed aesthetics segments have separate segment rows distinct from total corporate revenue."
cdp2_ir_segment_revenue_priority_companies,2,2,company_revenue,company_ir_reports,company_aesthetic_revenue_segments,company_financial_metrics,"global listed/private-priority companies","2020-2025","region;product_line;company_segment",aesthetic_revenue;regional_revenue;guidance,pdf_html_table_extraction_with_manual_mapping,planned,company_priority_list,"Prioritize AbbVie Aesthetics, Galderma, Evolus, Revance/Crown, Merz, Bausch/Solta, InMode, Cutera, Cynosure/Lutronic/Jeisys, Classys, Hugel, PharmaResearch.","At least 20 priority companies have revenue rows with metric_basis identifying total vs aesthetics segment."
cdp2_dart_korea_backfill,2,3,company_revenue,open_dart_korea,company_aesthetic_revenue_segments,company_financial_metrics,South Korea,"2020-2025","company_total;segment_when_filed",revenue;operating_profit;net_income,open_dart_api_and_report_tables,planned,api_key,"Pull financial rows for Korean public aesthetics companies and map KRW to reporting currency fields.","Hugel/Medytox/Daewoong/Classys/PharmaResearch coverage appears with source_url and fiscal_year."
cdp2_edinet_japan_backfill,2,4,company_revenue,edinet_japan,company_aesthetic_revenue_segments,company_financial_metrics,Japan,"2020-2025","company_total;segment_when_filed",revenue;operating_profit;segment_revenue,edinet_api_xbrl_extraction,planned,api_key,"Identify Japanese aesthetics-relevant listed companies and extract EDINET annual/quarterly financials.","Rows include EDINET document id or source URL and do not conflate consumer cosmetics with medical aesthetics."
cdp3_provider_locator_pilot,3,1,channel_density,provider_locator_pages,commercial_channel_coverage,new_table,"USA;Europe;Brazil;South Korea",latest_snapshot,"brand;clinic;city",provider_count;city_coverage,polite_locator_crawl_or_manual_export,planned,locator_terms_review,"Pilot 3-5 brand locators for injectables and EBD to define fields and privacy-safe storage.","Channel table has country/city/brand counts without unnecessary personal contact fields."
cdp3_enrichment_provider_panel_design,3,2,channel_density,enrichment_provider_panel,commercial_channel_coverage,new_table,"US;Europe;LATAM;APAC",latest_snapshot,"clinic;distributor;chain",clinic_count;distributor_count;firmographics,connector_export_review,planned,provider_access,"Define export fields for Clay/ZoomInfo/Apollo-style enrichment and map account categories to dashboard countries.","Backlog has provider-ready field list and confidence rules; no unreviewed contact PII enters dashboard."
cdp3_cms_open_payments_us,3,3,channel_density,cms_open_payments,commercial_channel_coverage,new_table,USA,"2019-2025","company;physician_specialty;state",payment_amount;physician_count;company_touchpoints,api_or_bulk_csv,planned,entity_name_mapping,"Map Allergan/Galderma/Merz/EBD reporting entities to Open Payments and aggregate by state/year.","US channel proxy includes payer-company-year-state totals with official source label."
cdp3_hong_kong_dh_day_procedure_centre_density,3,4,channel_density,hong_kong_dh_day_procedure_centres,commercial_channel_coverage,new_table,Hong Kong,latest_snapshot,facility,licensed_facility_count,ckan_csv_extraction,csv_acquired,none,"Parse DATA.GOV.HK day procedure centre CSV resources captured by collect_geo_market_source_discovery.py.","Hong Kong provider-density proxy has facility count and source URL; no treatment volume claim is made."
cdp3_taiwan_mohw_aesthetic_institution_density,3,5,channel_density,taiwan_mohw_aesthetic_medicine_institutions,commercial_channel_coverage,new_table,Taiwan,latest_snapshot,"city;approved_institution",approved_institution_count,pdf_table_extraction,source_pdf_acquired,none,"Extract MOHW approved aesthetic medicine institution PDF and join to city/provider denominator where possible.","Taiwan channel proxy is city-level where source permits and is not mixed with procedure counts."
cdp3_brazil_surgeon_density_denominator,3,6,channel_density,brazil_cfm_medical_demography,commercial_channel_coverage,new_table,Brazil,"2020;2023;2024","state;specialty",plastic_surgeon_count;physician_density,html_powerbi_or_report_extraction,source_pages_discovered,none,"Map CFM medical demography pages/reports for plastic surgery specialty counts by state.","Brazil surgeon-density denominator can be compared with ISAPS Brazil procedure totals but remains a channel proxy."
