optimization_group,optimization_group_title,work_mode,optimization_score,company,brand,standard_product_name,track,form,verification_status,direct_official_urls,fuzzy_official_urls,direct_spec_candidates,fuzzy_spec_candidates,registration_rows,official_indication_rows,mdr_ce_candidate_rows,lead_official_url,lead_spec_url,lead_registration_url,issues,improvement_reason,recommended_next_action,product_id,seed_record_id
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,Aezian,aesPlla,aesPlla PLLA Filler,Injectables,Biostimulator,official_spec_candidate_cross_checked,0,0,1,0,2,1,0,,,,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_3efc789ddb46,REC_1054
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,CGBIO / Cell Growth Bio,CGBIO HA Filler,CGBIO NMPA HA filler (mid-to-deep dermis),Injectables,Dermal Filler,official_evidence_promoted,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_2723b68a7718,REC_1026
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,CGBIO / Cell Growth Bio,CGBIO HA Filler,CGBIO NMPA HA filler (deep dermis/subcutaneous),Injectables,Dermal Filler,official_evidence_promoted,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_dab4456d0074,REC_1027
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,FacePharm Korea,Etrebelle,Etrebelle 50 mg / 200 mg,Injectables,Biostimulator,official_product_and_spec_cross_checked,0,0,0,0,3,1,0,,,,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_1d01a539c54f,REC_1055
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,Forest Hills Lab Korea,Rejeunesse,Rejeunesse NMPA HA Filler,Injectables,Dermal Filler,official_evidence_promoted,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_fe4548278050,REC_1035
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,Hafod Bioscience B.V.,ArteColl,ArteColl collagen/PMMA subcutaneous implant system,Injectables,Dermal Filler,official_evidence_promoted,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/bge82pQPbTp_0khKEVUXaw,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_270b976d99a0,REC_1037
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,Humedix,Pre-filled Sodium Hyaluronate Syringe,HA Dermal Filler,Injectables,Dermal Filler,official_evidence_promoted,0,0,0,0,2,2,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_efe169c02ddf,NMPA_IMPORT_HUMEDIX_HA_20260601
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,Huons BioPharma,HUTOX,HUTOX 100U Botulinum Toxin Type A,Injectables,Neurotoxin,official_evidence_promoted,0,0,0,0,1,1,0,,,https://finance.sina.com.cn/roll/2026-01-08/doc-inhfreqm6514541.shtml,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_4379c6237efa,REC_1038
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,Meamo Labs,BEAUX,BEAUX Collagen Stimulator (PDLLA/HA),Injectables,Biostimulator,official_spec_candidate_cross_checked,0,0,1,0,2,1,0,,,,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_159a16acc962,REC_1051
G_low_evidence_enrichment,G. 低优先资料补强,观察,25,Meamo Labs,BEAUY,BEAUY (PLLA 200),Injectables,Biostimulator,official_spec_candidate_cross_checked,0,0,1,0,2,1,0,,,,,辅助资料可更完整，但当前不影响产品事实。,Keep as lower-priority monitoring item.,prod_0d06a0c20ae0,REC_1052
