confirm_id,seed_record_id,company,brand,product,decision,target_record_id,note
NEXT-001,REC_1015,Advance Esthetic,Adonyss,CarbonFrax CO2,confirm_keep_supplement_official_indication_regulatory,REC_1015,"Fractional CO2 laser platform for ablative skin resurfacing, wrinkles, acne scars, texture improvement and professional skin rejuvenation."
NEXT-002,REC_1016,Advance Esthetic,Adonyss,DioPulse 808,confirm_keep_supplement_official_indication_regulatory,REC_1016,808 nm diode laser platform for professional hair reduction/removal across treatment areas.
NEXT-003,REC_1017,Advance Esthetic,Adonyss,T-Novation,confirm_keep_supplement_official_indication_regulatory,REC_1017,"Q-switched laser platform for pigment, tattoo, toning and skin-rejuvenation applications."
NEXT-004,REC_1018,Advance Esthetic,Adonyss,OxiPulse,confirm_keep_supplement_official_indication_regulatory,REC_1018,"Professional oxygen-infusion and skin-management treatment for hydration, cleansing and facial rejuvenation."
NEXT-005,REC_1019,Advance Esthetic,Zemits,CoolRestore Elegance,confirm_keep_supplement_official_indication_regulatory,REC_1019,Cryolipolysis/cold body-contouring device for non-invasive localized fat reduction and body shaping.
NEXT-006,REC_1020,Advance Esthetic,Zemits,DermeLuxx,confirm_keep_supplement_official_indication_regulatory,REC_1020,"Hydrodermabrasion and oxygen-infusion skin-management system for cleansing, hydration and medspa facial rejuvenation."
NEXT-007,REC_1021,Advance Esthetic,Zemits,Verstand HD / Pro,confirm_keep_supplement_official_indication_regulatory,REC_1021,"HIFU/LIPUS multi-function platform for lifting, skin tightening and non-invasive body/face contouring applications."
NEXT-008,REC_1022,Advance Esthetic,Zemits,Abigon Pro,confirm_keep_supplement_official_indication_regulatory,REC_1022,"RF/LIPUS professional device for skin tightening, contouring and body-shaping applications."
NEXT-022,REC_0438,ABG Lab LLC,Meso-Eye C71™,Specific Areas,confirm_keep_supplement_official_indication_regulatory,REC_0438,"Meso-Eye C71 is an eye-area mesotherapy product for periorbital concerns such as dark circles, puffiness, microcirculation and fine lines."
NEXT-023,REC_0439,ABG Lab LLC,Meso-Genesis BP3™,Hair Restoration,confirm_keep_supplement_official_indication_regulatory,REC_0439,Meso-Genesis BP3 is a professional hair-restoration mesotherapy product for scalp and follicle revitalization workflows.
NEXT-035,REC_0614,HOYA ConBio,RevLite SI,Q-Switched Nd:YAG,confirm_keep_supplement_official_indication_regulatory,REC_0614,"Q-switched Nd:YAG laser platform for tattoo removal, pigmented-lesion treatment and skin toning/rejuvenation applications."
NEXT-036,REC_SKINTECH_AESTHETIC_DERMAL,Skin Tech,Aesthetic Dermal,Aesthetic Dermal,confirm_keep_supplement_official_indication_regulatory,REC_SKINTECH_AESTHETIC_DERMAL,"Professional aesthetic dermal/mesocare product line for clinic-led skin quality, peels and professional skin-treatment workflows."
NEXT-037,REC_SKINTECH_HAPPY_INTIM,Skin Tech,HAPPY intim,HAPPY intim,confirm_keep_supplement_official_indication_regulatory,REC_SKINTECH_HAPPY_INTIM,"Professional intimate-care aesthetic product line for intimate rejuvenation, skin quality and pigmentation-oriented workflows."
NEXT-038,REC_SKINTECH_REPARESTIM,Skin Tech,Reparestim,Reparestim,confirm_keep_supplement_official_indication_regulatory,REC_SKINTECH_REPARESTIM,"Professional post-procedure/transdermal cocktail product line for skin repair, regeneration support and procedure-adjunct care."
NEXT-009,REC_1054,Aezian,aesPlla,aesPlla PLLA Filler,confirm_keep_supplement_korea_mfds_or_mark_not_public,REC_1054,"PLLA injectable biostimulator/filler retained as a Korean regenerative-aesthetic product line; used for collagen stimulation, wrinkles and volume restoration."
